"Frequency / Hz","Vm2:Measured voltage","Vm2:Measured voltage"
100,-3.3270008206164778,91.183986127869474
200,-9.3383561037371621,92.365310460363858
300,-12.844823313832233,93.541970559657557
400,-15.322200013896886,94.711671577243294
500,-17.233063238343323,95.872189239155574
600,-18.783539474109382,97.021382094233061
700,-20.083666758141412,98.157207603946446
800,-21.199211552237735,99.277736859290329
900,-22.172676419334127,100.38116720171814
1000,-23.033160913059714,101.46583244469848
1100,-23.80149614167161,102.5302106220748
1200,-24.493134525247584,103.57292932772678
1300,-25.11987781735602,104.5927685901226
1400,-25.690961994987475,105.5886615827901
1500,-26.213766163895627,106.55969322007137
1600,-26.694291551169322,107.50509695013801
1700,-27.137494503605826,108.42424995820306
1800,-27.547523736034577,109.31666703207155
1900,-27.927893028831537,110.18199336494514
2000,-28.28160934813592,111.01999654393403
2100,-28.611269513203187,111.83055793822697
2200,-28.919134262690825,112.61366373424804
2300,-29.207185800293686,113.3693957964509
2400,-29.477173082889546,114.09792249914288
2500,-29.730647887604782,114.79948972066342
2600,-29.968993859526005,115.47441206936763
2700,-30.193450143016385,116.1230644561832
2800,-30.405130803524095,116.74587408693185
2900,-30.605040929209672,117.34331291806876
3000,-30.794090101210969,117.91589061079586
3100,-30.973103749827136,118.46414801482844
3200,-31.142832806442922,118.98865117624325
3300,-31.303961961107504,119.48998588876395
3400,-31.457116777971663,119.96875275662467
3500,-31.602869862259183,120.42556277736247
3600,-31.74174623628085,120.86103341883124
3700,-31.874228051271778,121.27578517273464
3800,-32.000758733344242,121.67043854859224
3900,-32.121746648857552,122.04561150036039
4000,-32.237568354719805,122.40191724853638
4100,-32.348571488143762,122.73996245231734
4200,-32.455077342403122,123.06034571661947
4300,-32.557383165683945,123.36365637753929
4400,-32.655764215330009,123.65047353009753
4500,-32.75047559574007,123.92136524828693
4600,-32.841753903570293,124.17688794992155
4700,-32.929818704362589,124.41758586357071
4800,-33.014873859680037,124.64399054954416
4900,-33.09710872661028,124.85662043947153
5000,-33.176699247123857,125.05598037234668
5100,-33.253808948410942,125.2425611179616
5200,-33.328589866447082,125.41683888345227
5300,-33.401183413749742,125.57927485106725
5400,-33.471721197595372,125.73031476053362
5500,-33.540325801576209,125.87038862192399
5600,-33.607111529822681,125.99991059097273
5700,-33.672185117662679,126.11927909598559
5800,-33.735646397389154,126.22887723904611
5900,-33.797588912907578,126.32907350089221
6000,-33.858100468993548,126.42022272533087
6100,-33.917263602866626,126.50266732262772
6200,-33.975155969267696,126.57673858294683
6300,-34.031850634563725,126.64275795487926
6400,-34.087416285729624,126.7010381238215
6500,-34.141917368453882,126.75188373370523
6600,-34.195414181532357,126.79559162201613
6700,-34.247962959175609,126.83245051479597
6800,-34.299615979780221,126.86274021471675
6900,-34.350421734809842,126.88673041670036
7000,-34.400425183637779,126.90467939016185
7100,-34.449668101693291,126.91683283157094
7200,-34.498189508721403,126.92342320836602
7300,-34.546026141463663,126.92466986637865
7400,-34.593212915183251,126.92078005658949
7500,-34.639783309853094,126.91195084632071
7600,-34.685769618949188,126.89837168572366
7700,-34.731203019077952,126.88022719889742
7800,-34.776113451918647,126.85769964574017
7900,-34.820529350891675,126.83097048855782
8000,-34.864477287654353,126.80022062893016
8100,-34.907981643109437,126.76562915597168
8200,-34.951064416449235,126.72737078297047
8300,-34.993745262382518,126.68561255694523
8400,-35.036041799335948,126.64051067367626
8500,-35.077970160817095,126.59220835866101
8600,-35.1195456844804,126.5408355742214
8700,-35.160783581320764,126.48651093314338
8800,-35.201699406669647,126.42934556696845
8900,-35.242309187228614,126.36944809302113
9000,-35.28262914422163,126.30692935115042
9100,-35.32267506877001,126.24190546723062
9200,-35.362461524370133,126.17449814845459
9300,-35.402001129494195,126.10483184801841
9400,-35.441304181263085,126.03302845182607
9500,-35.480378796736289,125.95920104790322
9600,-35.51923159369786,125.88344887696829
9700,-35.557868741777568,125.80585539661345
9800,-35.596297060700401,125.72649053744932
9900,-35.634524781355587,125.64541680819458
10000,-35.672561665547477,125.562697424909
11000,-36.044125781701567,124.66254809486455
12000,-36.402837020074685,123.67190998574769
13000,-36.751779450159027,122.6358556684183
14000,-37.092625769355749,121.58557359812488
15000,-37.426198468206273,120.54182197418322
16000,-37.753037591398332,119.51857683280998
17000,-38.073254764236225,118.52502741023477
18000,-38.387010238552165,117.56694260161247
19000,-38.69432688411387,116.64724081839802
20000,-38.995212774020608,115.76748516238007
21000,-39.28970182446718,114.92802371618404
22000,-39.57784039495651,114.12831234849625
23000,-39.859704759783988,113.36720863971046
24000,-40.135405618372218,112.6434647097409
25000,-40.404989808183764,111.95558048006231
26000,-40.668628979590082,111.30144126005693
27000,-40.926403646376109,110.67972327706802
28000,-41.178510882732397,110.08848542867591
29000,-41.425063594666049,109.52590333831689
30000,-41.66620964663295,108.99044041272235
31000,-41.90210887050236,108.48053561333478
32000,-42.13291180591483,107.99466412541635
33000,-42.358770258198788,107.53129663798823
34000,-42.579868084983332,107.08908958821884
35000,-42.796325984986147,106.66708742276336
36000,-43.008291235973786,106.26360736658593
37000,-43.215913321024793,105.87805494632919
38000,-43.419356021531144,105.50902845077519
39000,-43.618721543146599,105.15562122624652
40000,-43.814151198194992,104.81703319480968
41000,-44.005779881603637,104.49241813556473
42000,-44.193726633700706,104.18099715074686
43000,-44.378099155860014,103.88197230904764
44000,-44.559035513148629,103.59453377138294
45000,-44.736652715512363,103.31839570780073
46000,-44.911010030817444,103.0525885946323
47000,-45.082261531587406,102.79692030864868
48000,-45.250488960573072,102.55049833961876
49000,-45.415766438966685,102.31301873996873
50000,-45.578201105365217,102.0840656711937
51000,-45.737885089081722,101.86318003728427
52000,-45.894899341306974,101.64998439938064
53000,-46.049309482397902,101.4440991406689
54000,-46.201199083423873,101.24498037965854
55000,-46.350680175973658,101.05254320692737
56000,-46.49775317900896,100.86637770041392
57000,-46.642560559869182,100.68626564181015
58000,-46.785121131937622,100.5117102865118
59000,-46.925499397297614,100.34267637966532
60000,-47.063772742147421,100.17888547238417
61000,-47.200000708002115,100.02006288863308
62000,-47.334239624801157,99.866020761833269
63000,-47.466531762084109,99.716610317441109
64000,-47.596916662635842,99.571462554414907
65000,-47.725496883224338,99.430436290370068
66000,-47.852256099355017,99.293564062751571
67000,-47.977305848924971,99.160445366744426
68000,-48.100633798968808,99.030938491948518
69000,-48.222304698924283,98.905067829775902
70000,-48.342370184105988,98.782601393089891
71000,-48.460867277698725,98.663368069584422
72000,-48.577837560460971,98.547265625652599
73000,-48.693314271272172,98.434266931569027
74000,-48.80730763456679,98.324170265251553
75000,-48.919897909147529,98.216693295982026
76000,-49.031086435456928,98.112153498914552
77000,-49.140935774475096,98.010008427973531
78000,-49.249433376538789,97.910402962443612
79000,-49.356642416455514,97.813299713944602
80000,-49.462591871306572,97.718501926552392
81000,-49.5673042396838,97.625911327829627
82000,-49.670811502510759,97.535459066482261
83000,-49.773145451597344,97.447162212748694
84000,-49.874303324034699,97.360983351422448
85000,-49.974330467904579,97.276537663975702
86000,-50.073263562875063,97.19422407627988
87000,-50.171109682515521,97.113509052735878
88000,-50.267878161674886,97.034697840473385
89000,-50.363621882507147,96.957646494364184
90000,-50.458351782983542,96.882214102338111
91000,-50.552082336842375,96.808359150410794
92000,-50.644838037792901,96.736021767334933
