"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,0.06670382322986787,-1.5357039765399858
200,-0.021214898292228376,-3.0527570648947973
300,-0.0092884951156184305,-4.9526774081290839
400,-0.083545818370048805,-6.3448199199783479
500,-0.060917060307994458,-7.7341032020625011
600,-0.17672885921872883,-8.8669405259214784
700,-0.20163492201546745,-11.052985330569959
800,-0.19204873190613173,-12.392680151264461
900,-0.34725618945547532,-13.633804590749383
1000,-0.46048715472308765,-14.688979388526457
1100,-0.45679847848658706,-16.203469003366379
1200,-0.5718506682309078,-17.885178293647705
1300,-0.59392728723458443,-18.348408872221221
1400,-0.71905143000844585,-19.625925298156837
1500,-0.83896715083591933,-21.570838578329372
1600,-0.77837286651496262,-22.39524909546477
1700,-0.91375698063217636,-23.417949145533139
1800,-1.0029157545010712,-24.003668969168938
1900,-1.1037178712633069,-24.683366333390772
2000,-1.266182026361899,-26.802369266385899
2100,-1.207791150822658,-27.829657125197606
2200,-1.3373222429243268,-27.977514966445124
2300,-1.4479204864173396,-28.488437753042142
2400,-1.4341844333366018,-30.005815526308858
2500,-1.5977335923292335,-30.716800247657556
2600,-1.6874858243564539,-32.049016710494548
2700,-1.7024317194055296,-33.097142163908366
2800,-1.740249212820316,-33.360122066987806
2900,-1.8640843003227801,-34.359381960045908
3000,-1.8941226862819858,-35.705476183841597
3100,-1.9408872603674954,-36.350483590066162
3200,-1.99404290390673,-37.148215771667168
3300,-2.1686726772558234,-38.376766261711403
3400,-2.1379317237748694,-38.582065290163911
3500,-2.1520987207857347,-38.693723717426138
3600,-2.3478414477300138,-39.429910878253608
3700,-2.1995844566937492,-40.232821652515021
3800,-2.2828816322165926,-41.5357538205105
3900,-2.3277321394119217,-41.949407379091113
4000,-2.3534790907386425,-42.95878935989483
4100,-2.2740879238783869,-43.714877010588275
4200,-2.4256094813933933,-44.436100579386803
4300,-2.5353841368610341,-45.307910467258203
4400,-2.4737450041100715,-45.366672464359091
4500,-2.4403141537777007,-46.671729014681333
4600,-2.5629244593893405,-46.788117865902429
4700,-2.5130724335260028,-47.509371754552632
4800,-2.5625794412860436,-48.584946614575863
4900,-2.5948398236824795,-49.106826949926088
5000,-2.6367478837060707,-49.134095577420773
5100,-2.4431679572199778,-49.681122813553024
5200,-2.5697831458895926,-51.032459217197825
5300,-2.5979130588014012,-51.405649809391278
5400,-2.5636765712616008,-52.251341728867324
5500,-2.6015113286848282,-52.250199363313271
5600,-2.6340568825255257,-51.990651647989203
5700,-2.4716222266657182,-53.858003337613795
5800,-2.5392488048582216,-54.70542622298013
5900,-2.6289396758583008,-55.180872402399743
6000,-2.5484006075199233,-55.959310683330457
6100,-2.707268669767553,-55.945455022002434
6200,-2.5414619330701003,-57.776104116668265
6300,-2.7010573243146951,-58.384332347429044
6400,-2.6031386035042665,-58.821659413593352
6500,-2.6208254810621416,-59.335524334283861
6600,-2.7069457521184241,-60.698323915502705
6700,-2.6317662612624164,-61.645510451129766
6800,-2.6929339134779307,-62.028681917054847
6900,-2.6906648014035324,-63.245533922069079
7000,-2.6252250869265303,-64.140705804057689
7100,-2.7002402733676361,-65.709770907533908
7200,-2.7434890872646562,-66.34923598606207
7300,-2.6773979949566633,-67.258954614065217
7400,-2.6742509425156316,-68.388539896218603
7500,-2.6959944107537339,-68.730920443083448
7600,-2.8140879393993083,-71.020991975263485
7700,-2.6576351706628705,-71.437148217355954
7800,-2.7824240796327531,-72.740687927189441
7900,-2.818009312318575,-73.445556067298497
8000,-2.7467694106706624,-74.988374239879946
8100,-2.8973845430820164,-75.641324132319056
8200,-2.9039672833808554,-77.667483252632138
8300,-3.0314268320948172,-78.508871786667285
8400,-2.9204267149121224,-79.061927866747723
8500,-3.0251580825249857,-80.219385156024344
8600,-2.926789866960497,-81.261258256433905
8700,-3.0412141417753222,-81.547754661418736
8800,-3.0310886809378794,-83.398887624768264
8900,-3.0415091859333323,-84.141400622194894
9000,-3.2677575372816126,-85.457420337856689
9100,-3.1489702865986335,-86.465971775523414
9200,-3.14231271404025,-86.771114813799244
9300,-3.1584130017372294,-88.21522361472843
9400,-3.1329231963090058,-88.851501298699688
9500,-3.1225367820355228,-90.072712189240548
9600,-3.17408440557797,-90.957347874189935
9700,-3.2842460312552531,-92.175280134684499
9800,-3.2950411569721871,-92.870275390949544
9900,-3.2978512145157661,-93.948908856372725
10000,-3.2281824663896841,-94.190598194944712
11000,-3.5339061542659249,-102.99260871766478
12000,-4.0852350476895829,-114.86416743709675
13000,-4.7294868984344189,-125.86550702387551
14000,-5.7817439130330026,-135.87638318070236
15000,-6.5485428518854434,-143.6853740936491
16000,-7.2656998226483624,-150.25188583851508
17000,-8.1505426995839674,-157.51105588626638
18000,-9.2619787733299663,-167.74168332923995
19000,-10.324426386333986,-173.49911501096568
20000,-11.164541601503968,-179.35219239561351
21000,-11.781825688423613,-182.57899482110119
22000,-12.519688193698492,-188.82715852910431
23000,-13.652677521717692,-193.38649762974674
24000,-12.777780818198076,-147.94946603759777
25000,-9.328452895444121,-186.72552618958724
