"Frequency / Hz","Vm2:Measured voltage","Vm2:Measured voltage"
100,15.650437724950919,-268.81055457390892
200,9.639151783723376,-267.62626186950882
300,6.1327964737083915,-266.44658311104035
400,3.6555731424996933,-265.27391476722846
500,1.744903265711174,-264.11052019087964
600,0.19465849224752832,-262.95856837969563
700,-1.1052014206549028,-261.82012492039939
800,-2.2204454446670008,-260.69713884639862
900,-3.1935789153351779,-259.59143041338018
1000,-4.053704377940023,-258.50468095346037
1100,-4.8216561064941805,-257.43842511344212
1200,-5.5128898159868767,-256.39404548861211
1300,-6.139210639664463,-255.37276973302141
1400,-6.7098579758963659,-254.37566985429658
1500,-7.2322143520934272,-253.40366364489807
1600,-7.7122843772625957,-252.45751793598095
1700,-8.1550277020707824,-251.53785345842883
1800,-8.5645962298401201,-250.64515105971356
1900,-8.9445067774891669,-249.77975899989929
2000,-9.2977691595083698,-248.9419010802028
2100,-9.626982819259549,-248.1316853955359
2200,-9.9344108590884872,-247.34911346687215
2300,-10.22203755014905,-246.59408958213453
2400,-10.491613585716426,-245.86643020743639
2500,-10.744692115490011,-245.16587328462577
2600,-10.982657764358393,-244.4920873505244
2700,-11.206750240974262,-243.8446803681008
2800,-11.418083745481651,-243.22320819638932
2900,-11.617663069021948,-242.6271826477911
3000,-11.806397077221398,-242.05607908982705
3100,-11.985110097982112,-241.50934353811641
3200,-12.15455162622886,-240.98639921978645
3300,-12.31540465783257,-240.4866525510937
3400,-12.468292904905345,-240.00949851908047
3500,-12.613787085568637,-239.5543254080464
3600,-12.752410441536124,-239.12051884425244
3700,-12.884643604886698,-238.70746512781187
3800,-13.01092890215666,-238.31455384414923
3900,-13.131674170323024,-237.94117973163958
4000,-13.247256134879152,-237.58674384070997
4100,-13.358023389507455,-237.25065404596279
4200,-13.464299007031018,-236.93232498692072
4300,-13.566382804626933,-236.63117758541165
4400,-13.664553284344642,-236.34663831388127
4500,-13.759069271457829,-236.07813842812641
4600,-13.850171278057124,-235.82511340575564
4700,-13.938082628047058,-235.58700283108902
4800,-14.023010387174084,-235.36325095668627
4900,-14.105146154894499,-235.15330811399571
5000,-14.184666780598596,-234.95663306103168
5100,-14.261735075541278,-234.77269623956806
5200,-14.336500584835928,-234.60098378499899
5300,-14.409100485366068,-234.44100194769038
5400,-14.479660647233647,-234.29228149314878
5500,-14.548296879547753,-234.15438148001562
5600,-14.615116339505539,-234.02689182501882
5700,-14.680219053389488,-233.90943403718558
5800,-14.743699450456711,-233.80165969410024
5900,-14.805647787922709,-233.70324644020371
6000,-14.866151322627532,-233.61389164241632
6100,-14.925295089869747,-233.533304228882
6200,-14.983162179726007,-233.46119563261828
6300,-15.039833454676469,-233.39727110666021
6400,-15.095386733342636,-233.34122283884912
6500,-15.149895555360835,-233.29272627075807
6600,-15.203427737909273,-233.25144070575115
6700,-15.256044002900598,-233.2170147076925
6800,-15.307796991348617,-233.18909597988366
6900,-15.358730958433974,-233.16734450028798
7000,-15.408882358566684,-233.15144681209836
7100,-15.458281382389252,-233.14112877003848
7200,-15.506954318487921,-233.13616387775511
7300,-15.554926411782535,-233.13637479502552
7400,-15.602224722540921,-233.14162665077387
7500,-15.648880403030567,-233.15181240197444
7600,-15.694929840062066,-233.16683232309123
7700,-15.740414281615786,-233.18657142252488
7800,-15.785377863963021,-233.21087970579885
7900,-15.829864325403054,-233.23956029328488
8000,-15.873913066477312,-233.27236925642006
8100,-15.91755548008152,-233.30902864507459
