"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,31.127249469587383,-106.754817210086
200,25.449908770022049,-88.90232372690356
300,21.263046897642166,-91.767995766701318
400,19.044056631508877,-88.21331394631504
500,17.358664732433283,-90.897376998301837
600,16.052702870810421,-86.958527419352833
700,14.142882721793292,-88.686154088642965
800,13.17473641413681,-90.382440212748065
900,12.195510271863395,-87.325041553942299
1000,11.433299980184826,-85.725815773226657
1100,10.622203593189957,-87.638317331027906
1200,9.6713649278873035,-87.131146314427639
1300,9.4353456926641801,-87.22599902379018
1400,8.7398013955883318,-86.361969572867537
1500,7.8367382460589265,-86.570071059594383
1600,7.6001022280080734,-88.452443093195726
1700,7.0925140122833419,-87.48080102859538
1800,6.7962235511396649,-86.824680746206482
1900,6.461581968527419,-86.16988962385642
2000,5.6349643267077942,-86.419551098842831
2100,5.4047730613845735,-88.263075173419409
2200,5.2237599505430046,-86.848520509813824
2300,4.9619861190196293,-86.107071400399477
2400,4.5791530016950723,-87.918032397084204
2500,4.2245603200484965,-86.893509580535905
2600,3.8074415379474931,-87.392472387904647
2700,3.5491542906138287,-88.349610396595978
2800,3.4500368750956181,-88.251192928406567
2900,3.0997098091068227,-88.106511388441788
3000,2.7824841125943212,-89.218811189236717
3100,2.6016811874614598,-89.453491259895713
3200,2.3869013374306354,-89.790997162468386
3300,1.971604495112468,-89.548400810306717
3400,1.9634594578719733,-90.009024452789831
3500,1.9281170298058248,-90.003750987367894
3600,1.5939314957034012,-89.165106909512716
3700,1.5954546985287048,-91.140459898348809
3800,1.2816225792849953,-91.756395200109893
3900,1.1662179832509045,-91.814757650848293
4000,0.96869217968530985,-92.588407539933442
4100,0.91554178527959262,-93.879695318829192
4200,0.6551889167965006,-93.458564158784625
4300,0.41222012091625948,-93.50551504879428
4400,0.46027736667217595,-93.986868594516977
4500,0.28503690739923521,-95.409739859513522
4600,0.15546778334930353,-94.689266712014188
4700,0.090308391549040065,-95.676592389751264
4800,-0.11595518201871072,-96.31570525769051
4900,-0.22176658021155382,-96.572756555263368
5000,-0.26309010689221213,-96.32991330646594
5100,-0.173374720295213,-98.045666151427
5200,-0.47782667622030817,-98.414571495044825
5300,-0.55476967596711713,-98.562921240475802
5400,-0.64372095365378557,-99.492922214568935
5500,-0.67568296920875826,-99.263723394037797
5600,-0.66752243328067118,-98.845750427703493
5700,-0.787602532399722,-101.38142379993216
5800,-0.95685114059973542,-101.68032233531227
5900,-1.093232386014396,-101.55567102342624
6000,-1.1290809071481112,-102.64757868604033
6100,-1.2569043733670724,-101.74339714742973
6200,-1.3557406470962277,-104.13826942565754
6300,-1.5584781349412011,-103.7585920291363
6400,-1.5344462235833276,-104.63023042519342
6500,-1.6112125619343842,-104.9405574077125
6600,-1.842152547983815,-105.56029376675163
6700,-1.8950485703347022,-106.67958349583309
6800,-1.9866845222258851,-106.66571107382219
6900,-2.1240739556408057,-107.61084528288791
7000,-2.1752192591185775,-108.60908790123474
7100,-2.4042248412492468,-109.42599360590761
7200,-2.5054133580599549,-109.70141657321587
7300,-2.5531062655185632,-110.6822519923856
7400,-2.6690740330000917,-111.52506964335146
7500,-2.7203346469309548,-111.677239502106
7600,-3.0369973882961037,-112.82731998923138
7700,-2.9653851616903792,-113.79777464359979
7800,-3.1812796009099853,-114.20125985229265
7900,-3.2738558987376223,-114.55803084356259
8000,-3.3676718616812291,-115.94181038425278
8100,-3.5339779966841074,-115.80239040441866
8200,-3.7196653852666639,-117.20744743703052
8300,-3.8826328263135035,-117.31754029545908
8400,-3.8522606417648126,-118.121039226557
8500,-4.0235586328392241,-118.54300301760274
8600,-4.042007419703797,-119.62297623379987
8700,-4.144834101030618,-119.41136434804504
8800,-4.2872935008251956,-120.72727279951947
8900,-4.3531498295605973,-121.2016271449384
9000,-4.6110785842469344,-121.34846468428304
9100,-4.6055759365019009,-122.43492035345454
9200,-4.6239455505458773,-122.66531301942543
9300,-4.7418392230370623,-123.59721759678733
9400,-4.7708890877425123,-124.10926056725113
9500,-4.8515289382153721,-124.96502227549104
9600,-4.9485322073325122,-125.40161878693942
9700,-5.106814906776628,-125.89067803235115
9800,-5.1612206484429981,-126.32702499899753
9900,-5.2351833332043114,-127.04330152270278
10000,-5.204618413331171,-127.40546512545683
11000,-5.9457843693964163,-132.42617977309763
12000,-6.9087006892956406,-139.04146966626567
13000,-7.7751036712443344,-145.2002339468047
14000,-8.7963590320859861,-150.52462731553047
15000,-9.5144118949026382,-155.10797405408834
16000,-10.143611468670276,-159.13014091897557
17000,-10.883134804432512,-163.78399611226459
18000,-11.793825119528057,-170.87235426880184
19000,-12.624194313414108,-175.0157506708658
20000,-13.285200764881457,-179.49253101015898
21000,-13.771091001344693,-182.05084710248718
22000,-14.348329414429806,-187.14158495122189
23000,-15.257883865321368,-191.09599862437415
24000,-14.367684909267194,-153.77464033168872
25000,-11.869857303477255,-185.01432853301893
