"Frequency / Hz","Vm2:Measured voltage","Vm2:Measured voltage"
100,20.810084386803066,-265.92795491803491
200,14.863498266394107,-261.9105014750217
300,11.46224517241061,-257.98864353422664
400,9.1267769716587068,-254.20268547689193
500,7.3898180838178344,-250.58486529656784
600,6.0400105209711228,-247.15865056157907
700,4.9619412846266613,-243.93890502190692
800,4.0846443494568421,-240.93275954032333
900,3.3608209322096294,-238.14089855916481
1000,2.7571162527672195,-235.55899428935231
1100,2.2490460998906761,-233.17909040324392
1200,1.8181109446647823,-230.9908161706814
1300,1.4500337577625977,-228.98237915759597
1400,1.1336191103835898,-227.14133091766607
1500,0.85997851917769386,-225.45512746165323
1600,0.62198417071718148,-223.91151813383146
1700,0.41387212636066018,-222.49879908647398
1800,0.23094744712756851,-221.20596461263261
1900,0.069361143032821704,-220.02278438037064
2000,-0.074060908989096341,-218.9398288915207
2100,-0.20195064398272533,-217.94846023856749
2200,-0.31650165415673859,-217.040800721333
2300,-0.41955109681179276,-216.20968835821421
2400,-0.5126447386604347,-215.44862562451198
2500,-0.59708892335881991,-214.75172564725702
2600,-0.6739923287904066,-214.11365870323027
2700,-0.74429969127969842,-213.52960076215885
2800,-0.80881918784602835,-212.99518508804096
2900,-0.86824477125375232,-212.50645743588598
3000,-0.92317448074569763,-212.05983502701534
3100,-0.97412551928087943,-211.65206926047617
3200,-1.0215467302172196,-211.28021200590663
3300,-1.0658289638677401,-210.94158521084029
3400,-1.1073137301106173,-210.63375355615483
3500,-1.1463004471720419,-210.35449983897749
3600,-1.1830525342749287,-210.10180279429053
3700,-1.217802547330521,-209.87381707774301
3800,-1.2507565107143204,-209.66885517542116
3900,-1.2820975735032025,-209.48537100942161
4000,-1.3119890881383511,-209.32194508189346
4100,-1.3405771927582975,-209.17727103678101
4200,-1.3679929644832869,-209.05014353525706
4300,-1.3943542004602008,-208.93944741237513
4400,-1.4197668784863828,-208.84414809370074
4500,-1.4443263456805797,-208.76328327555072
4600,-1.4681182833764097,-208.69595588229359
4700,-1.4912194984086178,-208.64132829954704
4800,-1.5136985905943543,-208.59861785593105
4900,-1.5356165487518545,-208.56709348072863
5000,-1.5570273246140984,-208.54607339389401
5100,-1.5779784316283969,-208.53492361536811
5200,-1.5985116013028899,-208.53305701582431
5300,-1.6186635248251757,-208.53993253279776
5400,-1.6384666797194767,-208.55505418886955
5500,-1.657950228104341,-208.57796948492415
5600,-1.6771409435890781,-208.60826685514374
5700,-1.6960641099931619,-208.64557191025651
5800,-1.7147443106071205,-208.68954241968387
5900,-1.7332060286644766,-208.73986215379261
6000,-1.7514739800546448,-208.79623396213327
6100,-1.7695731227275653,-208.8583726839021
6200,-1.7875283235030204,-208.92599865551114
6300,-1.8053637094085895,-208.99883267564942
6400,-1.8231017872286306,-209.07659320986758
6500,-1.8407624649967493,-209.15899642697741
6600,-1.85836215200359,-209.24575927722785
6700,-1.8759131253415502,-209.33660533832429
6800,-1.8934233371646196,-209.43127261063486
6900,-1.9108967808360613,-209.52952194696391
7000,-1.9283344456135989,-209.63114445477549
7100,-1.9457357753033777,-209.73596614230823
7200,-1.9631004278449138,-209.84384835116452
7300,-1.9804300343602053,-209.95468316688661
7400,-1.9977296035779974,-210.06838393803102
7500,-2.0150082362093613,-210.18487214740691
7600,-2.0322789119490685,-210.30406290210303
7700,-2.0495572848002084,-210.42585199571172
7800,-2.0668596456116655,-210.55010761358878
7900,-2.0842004310608435,-210.67666911514493
8000,-2.1015898304529008,-210.80535398859314
