"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,29.120597903079386,-88.370441377348826
200,22.894800608980042,-88.062922781277109
300,19.279186036146335,-87.660910406020193
400,16.803627671001063,-87.087639776554454
500,14.8943496019118,-86.630527676722068
600,13.400980047015253,-86.170245807044651
700,12.136531123257011,-85.794884804866996
800,11.089490179389976,-85.554271054701161
900,10.171847840154635,-85.325953219826502
1000,9.3693583390044477,-85.042192280211381
1100,8.6255301536132869,-84.811993867177307
1200,7.9844018203111986,-84.605362832712899
1300,7.4090551224328385,-84.657992270931658
1400,6.8335531675864836,-84.709275878859458
1500,6.3210795232200159,-84.704539944693551
1600,5.8415917564288176,-84.422018031369447
1700,5.4443082070352631,-84.388690233140679
1800,5.0762069586936533,-84.36901691077739
1900,4.7265184107979952,-84.506122188527144
2000,4.4191775114352136,-84.708780596267857
2100,4.1141436874688528,-84.918008967311806
2200,3.8509454444376106,-85.313139682387501
2300,3.5889608122826293,-85.656438674048104
2400,3.3422419181216334,-86.22842300164443
2500,3.125575600783959,-86.665319056510711
2600,2.8945853305701346,-87.388518503824898
2700,2.6929964432145619,-88.002195319898831
2800,2.4534312609068358,-88.796578533397749
2900,2.2230052429625986,-89.360355337464966
3000,2.0027638608874585,-89.726139277510015
3100,1.8463840735439327,-90.309305350467199
3200,1.6611436854254449,-91.076738258505259
3300,1.5136259585774496,-91.756765591245269
3400,1.3613018583616798,-92.509919788897193
3500,1.1965236238325609,-93.561797308802568
3600,0.98096305720449861,-94.554300780461617
3700,0.79033580285901694,-95.18167823155504
3800,0.62774442425350119,-95.840475331193304
3900,0.46078208140899407,-96.497643255337209
4000,0.33861780739106334,-97.135350800832683
4100,0.20672361167864764,-98.010698781741183
4200,0.061093313158909077,-98.978003896426415
4300,-0.10187289272375424,-99.80152103686288
4400,-0.26862931943373081,-100.74604873216208
4500,-0.38589691375344931,-101.25192582353378
4600,-0.50576527327804999,-102.19145396187966
4700,-0.62094049215703517,-103.1776004869694
4800,-0.76650399154555893,-104.34982930190503
4900,-0.96737300815894289,-105.22994803716048
5000,-1.1234052586311942,-105.69316836849634
5100,-1.2177512881717774,-106.52440470206749
5200,-1.3571347827269642,-107.55418151402164
5300,-1.4657018271794229,-108.32661188353373
5400,-1.6010677871840251,-109.38010044100038
5500,-1.7467079537906869,-110.22160136047307
5600,-1.8672501531648587,-110.9865929370447
5700,-1.9815303506908095,-112.06679321209407
5800,-2.1448317493992675,-113.05045979876023
5900,-2.2951979837546035,-113.83992623603102
6000,-2.4217034202410632,-114.48708333831021
6100,-2.4994592606791537,-115.24846352285687
6200,-2.6326339945387045,-116.51164917021885
6300,-2.7704672524276792,-117.52205635811046
6400,-2.9355718222262195,-118.08814957238228
6500,-3.0361061948170693,-118.88180150207226
6600,-3.1521532437818789,-119.8848616365562
6700,-3.2908072954566454,-120.75786880498528
6800,-3.4114227668506114,-121.55200639924199
6900,-3.5183202975392485,-122.51561526181268
7000,-3.6516176247219794,-123.61821939372433
7100,-3.8060183518605668,-124.20611363981286
7200,-3.9008479193723504,-124.86174276303582
7300,-3.9995003420518307,-125.88624362711474
7400,-4.139163832609027,-126.96138087170628
7500,-4.3084908044226804,-127.70525730039792
7600,-4.3922938798819704,-128.2728763761294
7700,-4.4936583237848646,-129.38263656945909
7800,-4.6522758446116761,-130.17506435410479
7900,-4.7616049612582065,-130.90343079115922
8000,-4.8737528005596173,-131.84821442435967
8100,-5.0185792272235528,-132.53626441430504
8200,-5.1189334412835166,-133.31630692397218
8300,-5.2258170209138255,-134.32210244759409
8400,-5.3758742203199628,-135.18190378443083
8500,-5.4938128765415044,-135.68618842946324
8600,-5.5850204953542502,-136.63767425423922
8700,-5.7315827439959746,-137.67159708588616
8800,-5.8512727771587638,-138.24503116691218
8900,-5.9386425170551878,-138.95899085805993
9000,-6.0755604424390413,-139.9040367406956
9100,-6.1885695769646087,-140.62470118516956
9200,-6.2954342780105037,-141.39482306071054
9300,-6.4325846539667975,-142.24517395111408
9400,-6.5301339944152073,-142.95382080630372
9500,-6.652826176646971,-143.85845987042998
9600,-6.7952039105132176,-144.44252195456372
9700,-6.8501426998216886,-145.18233261749106
9800,-7.0106065447717025,-146.26812022144122
9900,-7.1380638789092039,-146.6595062729856
10000,-7.2176524841527137,-147.52381788156566
11000,-8.3524332939372155,-155.11034654602508
12000,-9.4797520438213532,-161.78932659982161
13000,-10.56564633495821,-168.61289369345272
14000,-11.590547827446404,-175.10624844932607
15000,-12.710950197701433,-181.12990435382909
16000,-13.688917278289182,-187.0266751101075
17000,-14.745323363022877,-193.77736875228166
18000,-15.709734212537274,-199.29303000972658
19000,-16.73064502014585,-203.84166436730396
20000,-17.709546390770832,-209.84299789380159
21000,-18.702404375558448,-214.61481733670581
22000,-19.355705631319665,-220.42264996607477
23000,-20.136398653028181,-226.34553154513753
24000,-29.151089486399687,-164.49286888470888
25000,-18.674338612495529,-195.7681361301477
