"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,0.0076464670742480909,-3.4268097901801604
200,-0.016809010876401739,-5.8530322470974578
300,-0.05848363884613992,-7.7151200239538973
400,-0.13466853334537152,-9.5308574122754024
500,-0.16340038563634832,-11.953649153849341
600,-0.3128732272080576,-13.241771727481
700,-0.3753590095422451,-15.220103393503605
800,-0.57558712297460035,-16.496708440388257
900,-0.7109861626249776,-18.014984617757182
1000,-0.90422885759681593,-20.304378830379349
1100,-0.90893616063204141,-19.851471021586974
1200,-1.1399570366841392,-21.404646084889109
1300,-1.1748665022171929,-22.785647165380261
1400,-1.3979494002777137,-22.671291516177988
1500,-1.5353428779968312,-23.067750344712
1600,-1.4027057458681782,-24.102033412434196
1700,-1.4567687186374234,-24.817057320841954
1800,-1.4440913061745628,-25.579314171225086
1900,-1.4171871031277885,-26.464789487117841
2000,-1.2853235688745011,-27.788714184410061
2100,-1.4216502926212233,-30.17422591494509
2200,-1.4613491248361632,-31.92047861047325
2300,-1.6582265119777895,-33.20594984964908
2400,-1.8184115772188032,-34.680792577904718
2500,-2.1227872605223044,-36.115967840564736
2600,-2.2375401890301365,-35.31317421034376
2700,-2.2739698430353195,-34.853616307882767
2800,-2.1457216237866712,-34.909028651423888
2900,-2.150820421829541,-33.938406017374042
3000,-1.7820665388976451,-35.130085068291095
3100,-1.6244433450554929,-38.810454196563178
3200,-1.9165461831093613,-40.28528037652525
3300,-2.0557055999684608,-42.304489984020911
3400,-2.3337334272382488,-43.361097845462254
3500,-2.6704173411429739,-43.619283118039249
3600,-2.4117223916835595,-41.785488063999352
3700,-2.1482202121311769,-41.66501985459972
3800,-1.952080197082112,-43.482435323089021
3900,-1.8955280164944799,-46.052763917369326
4000,-1.9988942739398201,-49.568365447732589
4100,-2.3993513797825723,-50.22691309024772
4200,-2.5222004637310684,-48.635810175775006
4300,-2.3644092438909095,-47.497573359270447
4400,-2.1183305618750579,-49.041614922080186
4500,-1.7546506971531908,-51.65919463098912
4600,-2.0011990159652409,-54.74075544577039
4700,-2.3629173984306919,-54.387860928505255
4800,-2.4533166418543213,-54.021339462826553
4900,-2.2452158118024985,-55.098708788953729
5000,-1.6307820040658896,-55.690045493841346
5100,-1.9443253845996569,-59.210233264512041
5200,-2.2097329362539382,-60.604776351169264
5300,-2.4361677516819347,-58.459531298070331
5400,-2.1661424972528329,-59.323374710054779
5500,-1.7654568597837541,-62.252851146629915
5600,-1.9485927113533892,-65.051665578634953
5700,-2.3478175515923754,-66.162964365335085
5800,-2.3855540216094551,-64.153190890859065
5900,-1.8899414538559416,-66.402597364969509
6000,-1.6460754504553012,-70.344110749479228
6100,-2.1199585078486236,-70.760474142813237
6200,-2.4316046938440521,-69.934342844687109
6300,-1.9598826800383171,-70.017218241769157
6400,-1.8155072378913337,-73.9188495506245
6500,-2.2851017411429968,-78.151674367261421
6600,-2.378405848069499,-75.831954861173358
6700,-1.9262232752085233,-74.841877187095989
6800,-1.7898050726125057,-79.447197926857015
6900,-2.2387659596377625,-82.22118359276088
7000,-2.4855396240647813,-77.892074474720346
7100,-2.1123874432323495,-81.104884125889924
7200,-1.9337052544917475,-85.809748608167538
7300,-2.4630373711824998,-87.712040320561982
7400,-2.1618014608275824,-84.843331376669212
7500,-1.7167704359487841,-89.364452350577452
7600,-2.2367863917363096,-91.779864301531504
7700,-2.5459514046941494,-90.898842380666508
7800,-1.977072947996104,-91.709836775889642
7900,-2.1046786508855058,-97.254163067950657
8000,-2.7569307049678295,-94.612078347740706
8100,-2.2313262935664895,-95.689717158345388
8200,-2.2020559667109589,-100.92338577637979
8300,-2.6294069658088119,-101.79241649962731
8400,-2.3469022610176999,-99.834787686329449
8500,-2.2655366215544452,-105.5509076464264
8600,-2.8750263606274351,-105.19855149132181
8700,-2.4966288497756897,-104.64643601128287
8800,-2.4759983580912319,-108.82011780220267
8900,-3.1847122328126169,-108.76254009003559
9000,-2.350875154892976,-109.00738883697696
9100,-2.9081860984500247,-114.56648931775256
9200,-3.2795073943202269,-113.54993235275046
9300,-2.7301872553628668,-114.47508981252943
9400,-3.2302132484570985,-119.28433850794551
9500,-3.3433229192992813,-114.67048247532887
9600,-2.9064850147563783,-120.39090420204505
9700,-3.6491990484180636,-121.82241848123685
9800,-3.3097199195645368,-120.44509446363892
9900,-3.3614325755943271,-126.73126507898417
10000,-3.9674813999906755,-123.41337754153058
11000,-4.5882191423371834,-135.60592532312552
12000,-6.1439821902440714,-155.85789669313206
13000,-7.3051165731581724,-167.60544668820634
14000,-9.5191341776198879,-170.60251387996092
15000,-10.242416901810902,-187.07328428267718
16000,-12.305031820251635,-192.83515682510568
17000,-11.495032768178774,-193.7390753010508
18000,-12.69078120223255,-196.47728886115823
19000,-14.948529615039774,-219.76945442215796
20000,-14.258788117807519,-212.54830690292829
21000,-15.618473912120374,-229.44598093234058
22000,-19.396151010658219,-202.32545222624691
23000,-21.705347230508583,-206.35706168367278
24000,-21.789609622097153,-195.52680108232374
25000,-15.268283521630595,-183.83330801264077
