"Frequency / Hz","Voltage Adder","Voltage Adder"
100,4.0554435313744985,-1.3862611766246731
200,4.0514490751506296,-2.7588214393672676
300,4.044017907429823,-4.1317043048667816
400,4.033779202036273,-5.5052071469067219
500,4.0206158357282549,-6.8734828393873304
600,4.004827359502622,-8.2360456296949991
700,3.9868032881782618,-9.5903964358407716
800,3.9663185906893044,-10.947129656093407
900,3.9426874935999741,-12.298998860637965
1000,3.9163181150760047,-13.646796340464688
1100,3.887156475841929,-14.986642525068765
1200,3.8557823904974531,-16.319606745623883
1300,3.8217816127950481,-17.644571127560024
1400,3.7852541376487565,-18.963288655647322
1500,3.7468690453962656,-20.272820093437559
1600,3.7061755751058989,-21.576432498851201
1700,3.6632568822603306,-22.870647424720637
1800,3.6182326302740622,-24.157515340010182
1900,3.5709090223590794,-25.432215549059766
2000,3.5219495703271657,-26.699498946262072
2100,3.4701835614250056,-27.959898109891419
2200,3.4162078672325444,-29.207911089241435
2300,3.3605298459669819,-30.446248874553699
2400,3.302549599314144,-31.673516577527693
2500,3.2431144849072768,-32.886759935623921
2600,3.1818734875663903,-34.086019327903507
2700,3.1199754645467221,-35.273804228786645
2800,3.0568580318445888,-36.449969423931414
2900,2.9923686600221613,-37.618549888632131
3000,2.9269105095460763,-38.775215691885471
3100,2.8596052564811454,-39.924938113555299
3200,2.7910904183555867,-41.066461660495385
3300,2.7204400650124616,-42.195277997553184
3400,2.6475448829487807,-43.309702959559289
3500,2.5746612143097645,-44.400327177714829
3600,2.5014746023636985,-45.480631202507745
3700,2.4282705956891668,-46.553730441028755
3800,2.3541192495329839,-47.619800322856946
3900,2.2789586121667118,-48.675677936854377
4000,2.2024674325065825,-49.728274656662393
4100,2.1237247143122473,-50.759993086682435
4200,2.0446231723037651,-51.776017046886565
4300,1.9660845170727157,-52.774792358268165
4400,1.8883820383202137,-53.76995515131275
4500,1.8091501618641561,-54.761992471693532
4600,1.7286722795409417,-55.744111005402097
4700,1.646829297089095,-56.71143639952723
4800,1.5650264645039655,-57.659548505524974
4900,1.4844127066305126,-58.595127747176413
5000,1.4040980613778626,-59.536629326741554
5100,1.3213600590682963,-60.468685562896901
5200,1.238060621723976,-61.383325293601423
5300,1.1545031638189864,-62.284406329235701
5400,1.0728511928248941,-63.168145289437632
5500,0.99173276230082374,-64.060688626034462
5600,0.90782616601030863,-64.952957076973888
5700,0.82231250954559132,-65.818212319598246
5800,0.73974567891101484,-66.663589600968152
5900,0.65776701462876241,-67.513512915541938
6000,0.57538160981716602,-68.371517953520765
6100,0.48973363421306804,-69.21332662348965
6200,0.40422967016986883,-70.029520253343094
6300,0.32244380066794676,-70.830427543509416
6400,0.24118158060962916,-71.658950380687301
6500,0.15515717368601631,-72.469691151761054
6600,0.069895500307398301,-73.248915495006116
6700,-0.011713515191481814,-74.026372166476563
6800,-0.093184572251217179,-74.815194744790588
6900,-0.17794354645621818,-75.604539820500307
7000,-0.26340216880161665,-76.354562771964552
7100,-0.34378808321787796,-77.106321235576317
7200,-0.4257729341399879,-77.878106397037911
7300,-0.51189599175574318,-78.625050054700623
7400,-0.59388820196529635,-79.345723831463047
7500,-0.67455781591937991,-80.086043602947569
7600,-0.75760158689140167,-80.824698147838234
7700,-0.84155961417648695,-81.535066042278558
7800,-0.92151133656439066,-82.244455765323792
7900,-1.0034052403641378,-82.970709403160413
8000,-1.0877164307320728,-83.66065932836834
8100,-1.1668051659174263,-84.353584702976931
8200,-1.2474680059141476,-85.056497245044767
8300,-1.3316521127658878,-85.742806356525477
8400,-1.4101130984654859,-86.41066449939035
8500,-1.4909954432083974,-87.109605862369634
8600,-1.5750270895806429,-87.765426189768149
8700,-1.6515900253212215,-88.42159643448457
8800,-1.7322851875260912,-89.104944218768424
8900,-1.8151810568248514,-89.752800427309509
9000,-1.8915591848596447,-90.395603667262677
9100,-1.9718319802189619,-91.067717337156367
9200,-2.0551812543393653,-91.686544811036683
9300,-2.1276570675542925,-92.324352571906033
9400,-2.211808271397842,-92.989110474298215
9500,-2.2898967469691427,-93.584594708640267
9600,-2.3649017775027343,-94.233486858409933
9700,-2.4480571318688469,-94.859578434753445
9800,-2.52310842184154,-95.452852075825746
9900,-2.5998398872785793,-96.105747357294646
10000,-2.6827635126823717,-96.686399844297412
11000,-3.4457301798303015,-102.61785294761007
12000,-4.1939656509949819,-108.28905407514756
13000,-4.9219902770075805,-113.67866576457213
14000,-5.6406654939767753,-118.82515503724271
15000,-6.3424167589599501,-123.88416171205942
16000,-7.0424746775914322,-128.74843930410762
17000,-7.7148660668114033,-133.49040661105789
18000,-8.394424402204482,-138.12728590212933
19000,-9.0911742777610911,-142.79182701188162
20000,-9.752024520137919,-147.2223544730025
21000,-10.444347535543324,-151.75984989482507
22000,-11.148660826756112,-155.70848915436108
23000,-11.900956085975842,-159.75912071933888
24000,-6.5645734431048286,-163.81851918927234
25000,-9.0523592988457153,-204.59890664552751
