"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
50,0.37212418635898514,-9.9873454713010386
100,-0.6790939993217443,-8.2229518161182842
150,-1.5823259595244865,-23.516041381144976
200,1.4257109838661624,-19.166460909918396
250,-1.5566815121992885,-26.885186902680307
300,-0.097809624133544812,-55.729480374176383
350,-1.4400938667362841,-26.512876494219888
400,-4.5674260013561554,-40.462533698141151
450,1.1388979246000748,-51.942962255024042
500,-2.1089248328731434,-49.85313983423255
550,-3.8444237030032404,-82.277057182044473
600,-2.2217687171512437,-55.188403675417263
650,-3.2422906380637153,-56.696646946246318
700,-2.3542701874403105,-77.97718745978365
750,-3.5344475962940751,-82.905335724537082
800,-3.476344151559037,-76.366760369362069
850,-6.014414118935286,-81.019330825292442
900,-3.7944045726103042,-104.69694170415525
950,-3.1688342508645491,-71.349190127408733
1000,-8.3052267718634596,-95.888546695256437
1050,-1.6868624436433601,-119.09854532947207
1100,-6.7765082500718687,-79.795842899641116
1150,-13.568237760688906,-113.47807675523033
1200,-2.7198609061095431,-110.01105555934235
1250,-6.2244443451522571,-107.316493859693
1300,-9.7911566043782212,-131.37379014478464
1350,-8.6136068780261219,-119.40454951816602
1400,-6.5137339467865472,-130.02038370535183
1450,-7.8756944085011042,-101.21602109536202
1500,-12.765491004779939,-131.59634083994726
1550,-4.6348517787613854,-150.57208951460208
1600,-10.151996391571149,-112.24350614160721
1650,-17.036044719157143,-121.06852837602216
1700,-7.9484938475024514,-143.79564123888977
1750,-9.723380004376077,-149.12088099774593
1800,-9.1394470289926897,-133.38872264251253
1850,-15.536275562418831,-137.06089098403038
1900,-12.440290341818388,-193.86101934862995
1950,-7.9269021707335625,-134.22461402852122
2000,-11.893887082619726,-136.61026891299127
2050,-14.849462901455029,-175.39173564808894
2100,-15.141976278219968,-164.16220314689255
2150,-10.938333488062561,-180.50079554860321
2200,-11.192752561973215,-128.21369280418153
2250,-16.690618225155188,-136.46709864770318
