"Frequency / Hz","Vm2:Measured voltage","Vm2:Measured voltage"
50,2.6904229964039708,-264.91801059684985
100,-3.1869371364205823,-259.97351118294296
150,-6.4807601731372309,-255.29101200133255
200,-8.6803492700953679,-250.95652170079262
250,-10.263949276582402,-247.02892049538968
300,-11.452721477476977,-243.52690475200754
350,-12.370613538318775,-240.45071417244094
400,-13.094474310791099,-237.77653774514161
450,-13.676045487789661,-235.4763596211464
500,-14.150824582562729,-233.51202740002839
550,-14.544778976877936,-231.84942576012745
600,-14.876339205992492,-230.45138818791128
650,-15.159759359242047,-229.287369000307
700,-15.405198139592207,-228.32643731177521
750,-15.620955643435416,-227.54409322527883
800,-15.8128442431229,-226.91619987091659
850,-15.985936682184068,-226.42393150274501
900,-16.143640435057247,-226.04895077427386
950,-16.289194295507372,-225.77696915011833
1000,-16.424621115195489,-225.59420109958157
1050,-16.552074510128655,-225.48976074560514
1100,-16.672753811783561,-225.45333126406126
1150,-16.78814596951198,-225.47650762330755
1200,-16.898947875809856,-225.55160248011217
1250,-17.006221572724229,-225.67199702916409
1300,-17.11035227949823,-225.83201015017755
1350,-17.212120654075576,-226.02630223459923
1400,-17.311717866886887,-226.25074079662764
1450,-17.409730198239661,-226.50090086879936
1500,-17.506230083446376,-226.77386041939064
1550,-17.601662881459678,-227.06584999904302
1600,-17.69603237420506,-227.37490295120421
1650,-17.789676023505852,-227.69772447269014
1700,-17.882563490494295,-228.03310446002391
1750,-17.974944715169762,-228.37810086577332
1800,-18.066779769160647,-228.73209839455049
1850,-18.158243636860561,-229.09243144574444
1900,-18.249304488328477,-229.45894129670538
1950,-18.340070305374255,-229.82919853000112
2000,-18.430529925536369,-230.20337710788078
2050,-18.520729906480806,-230.57927224091961
2100,-18.610688075112364,-230.95727545897256
2150,-18.700394429061614,-231.33541745710755
2200,-18.789900208232087,-231.71419830198658
2250,-18.879144284047985,-232.09191131958784
2300,-18.968211915051111,-232.46906222719957
2350,-19.056997805689377,-232.84424378868829
2400,-19.145618021392085,-233.21787302945847
2450,-19.23393224121514,-233.58888123400118
2500,-19.322080380309789,-233.95751534592148
2550,-19.409898695525314,-234.32307839581267
2600,-19.497540573728017,-234.68558472943249
