"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
50,15.115118653656438,-108.76644018514631
100,15.39896029247604,-65.584991167116399
150,6.211983546348721,-78.18159477201111
200,9.3183028198464157,-125.45693110985805
250,5.2705492952315947,-82.941533473707494
300,0.53635374909233657,-117.25458282103943
350,5.5163093934254084,-83.911482272002132
400,-1.0991681530559592,-75.339213889538513
450,1.6244830674612971,-123.62593273750167
500,0.082077451992293299,-100.3555852956068
550,-4.7785787070593191,-117.14091545399432
600,-0.76773021514786366,-103.91571914586028
650,-1.8032466140534675,-99.469199472833949
700,-3.371183627352226,-119.54073685604072
750,-4.6021850734101069,-118.65099369578972
800,-4.0194051406423723,-114.08735351789794
850,-6.4051585681384111,-109.21485416116623
900,-6.2129338749111866,-132.92933586210776
950,-3.3307742908655986,-111.56769601366085
1000,-9.1922522904614397,-116.08346925275312
1050,-5.6297620379189119,-146.29224180161341
1100,-6.9787626153729363,-105.94404366020076
1150,-14.399880776055943,-123.54356316328361
1200,-5.8054692135103112,-138.80067250551113
1250,-8.0693217001925746,-129.46706061439772
1300,-11.646953719953139,-142.69532867848355
1350,-10.379910123480098,-134.69425896428294
1400,-9.1399845821513956,-145.52866276489877
1450,-9.0820722849639779,-121.38339018039554
1500,-14.095389913761526,-140.08328651068337
1550,-8.3742532863096244,-161.37039462510981
1600,-11.396450650882915,-126.67521099677502
1650,-17.699213034923556,-127.47798507622834
1700,-10.517303502570577,-153.93167065252285
1750,-11.942600146161496,-156.57729416712476
1800,-11.185055559432769,-144.95475762549495
1850,-16.583631875757163,-142.85476847474067
1900,-14.260590472371401,-191.20227237578163
1950,-10.285242774559327,-146.89202375108226
2000,-13.460045496672867,-144.997181674069
2050,-16.290351391666732,-176.09734196141471
2100,-16.500337967613905,-166.50240764007449
2150,-13.108537417005932,-180.3900749743612
2200,-12.706512257451026,-138.69666709157605
2250,-17.602588956963036,-141.67504171868006
2300,-14.475112709310174,-196.18389933495033
2350,-16.739452946912014,-173.04961161515109
2400,-14.194442357013695,-176.27735967067645
2450,-15.549518139219995,-138.67813270805789
2500,-21.38936541671815,-148.3500249357694
2550,-14.673223955777559,-202.08138365457395
2600,-17.935905949493861,-181.64458113399385
2650,-15.190177494771648,-182.72976565539142
2700,-16.905970335726039,-142.60765185961037
2750,-22.11983532965743,-148.56562742713589
2800,-17.009754181701414,-210.66566785378589
2850,-19.989000167319436,-196.04705360375831
2900,-15.6002761436405,-201.49244397002002
2950,-16.849979035213003,-154.23070057977418
3000,-19.758939476196545,-159.24131527708943
3050,-22.531010749646441,-195.57291541167507
3100,-24.862452656935979,-206.18405945317855
3150,-17.211615668933756,-236.25417554982437
3200,-17.757511110678792,-179.42557124488459
3250,-18.641295302852004,-193.12265826919997
3300,-17.621410400041555,-171.46330624543199
3350,-24.348318239645014,-172.0156693110516
3400,-33.150065231630713,-254.68771645061122
3450,-24.943032001747795,-204.99159039003746
3500,-24.342902297818757,-250.10400063565322
3550,-16.54904411541121,-210.4425593532599
3600,-21.640729627449339,-209.35754933264147
3650,-18.547266922379585,-204.07329723321402
3700,-21.679534499322273,-161.87430222903257
3750,-23.147821170603212,-169.66031114594324
3800,-25.83405663857279,-180.51288374668954
3850,-31.77341466187157,-196.96146503972659
3900,-24.372773841435848,-287.51868930432317
3950,-26.299027992103333,-224.87111639963851
4000,-24.675718099252745,-269.19671520686325
4050,-18.609064378616608,-221.61035916948043
4100,-23.495205715536095,-231.28043275495173
4150,-18.962822346396212,-227.75050979933317
4200,-23.089019821105268,-188.5210324620613
4250,-22.507743078087984,-208.05789371375113
4300,-21.059956359178695,-184.37920243922474
4350,-25.598446811191842,-195.23886338132962
4400,-26.291072676071966,-187.63824987498418
4450,-29.544306400901451,-160.28381483492086
4500,-29.987705045921022,-155.65829022777447
4550,-32.084755315984339,-186.88395195726216
4600,-35.978543681821307,-179.71769101940251
4650,-35.088900571857508,-322.65254636838256
4700,-42.505059341909487,-211.64418386765436
4750,-37.604479135295549,-383.17261933741855
4800,-29.769390164432956,-263.93444684840807
4850,-38.50851063173311,-306.47081562523704
4900,-26.323984355261555,-322.61439290723774
4950,-37.951035675519591,-270.98178447086377
5000,-31.393396382182694,-352.09963343611531
5500,-35.944769781831525,-509.4762021464586
6000,-25.466054234461033,-669.24549575891194
6500,-26.43655732123613,-673.29851663110514
7000,-36.188086416463044,-821.09558294093961
7500,-31.225484425779349,-734.35644067983731
8000,-37.61965188990122,-816.0993581587195
8500,-33.559269664270445,-691.60941329078128
9000,-39.476180387561328,-683.29469070522271
9500,-41.912469529844749,-802.29829310002776
10000,-28.604741893205862,-754.42714528249837
10500,-41.850571065645987,-587.37811225766814
11000,-49.467234624480795,-512.76121922794152
11500,-41.424190517106815,-529.00398967107526
12000,-39.772755358057609,-566.53077386315636
12500,-42.150013160794025,-567.73017149235329
13000,-40.496309679577188,-590.7042499834879
13500,-48.251701159986958,-640.55459513003848
14000,-44.892942284724967,-669.46936819601433
14500,-46.734572811553427,-603.15175538406845
15000,-54.445626789105475,-739.89091621328691
15500,-57.347580337018812,-620.72061358231576
16000,-45.451883992146236,-724.95200292420611
16500,-45.473592534744171,-745.54145797817591
17000,-57.70452726194425,-840.4150885013762
17500,-50.102311383816776,-786.2476568284369
18000,-55.756371445426169,-857.06652823071545
18500,-49.53211527117314,-757.42714302681532
19000,-60.159076860715459,-651.91516176950211
19500,-48.267211453157898,-482.15167859112745
20000,-36.918551204019998,-434.5275663025995
20500,-47.067948587711982,-278.0431455786437
21000,-60.951281574649855,-383.41709482003728
21500,-51.388191334560396,-219.08240177016165
22000,-75.106454535084936,-292.93891030673421
22500,-52.955579759809567,-313.28498280376476
23000,-52.713339144176174,-354.1361738922983
23500,-62.023876836815568,-252.76899927448326
24000,-72.146178767972629,-389.1207203451803
24500,-56.439538701912284,-344.08547544464324
25000,-56.00479678630925,-184.4001400267218
