"Frequency / Hz","Vm2:Measured voltage","Vm2:Measured voltage"
100,2.9480930081745678,-265.91313999077607
200,-2.9977075066974299,-261.87730095958671
300,-6.3976880235574836,-257.93879018723078
400,-8.7314775715324124,-254.13835950750001
500,-10.466448006210811,-250.50860182489953
600,-11.814057095420731,-247.0731530750304
700,-12.889811350048388,-243.84687140560806
800,-13.764757549231151,-240.83674674415485
900,-14.48625934072699,-238.04323245425587
1000,-15.087720068929201,-235.46172113968015
1100,-15.593657602522695,-233.08396145452588
1200,-16.022592554868652,-230.89929558603063
1300,-16.388813087489694,-228.89566644250093
1400,-16.703518304436699,-227.06039085255142
1500,-16.97559506537014,-225.380722594454
1600,-17.212166009550351,-223.84424065274789
1700,-17.418987700035796,-222.43910024880688
1800,-17.600746499346545,-221.15418085180988
1900,-17.761282336545104,-219.97915982304457
2000,-17.903760285060287,-218.90453437571267
2100,-18.030803571764242,-217.92160911320744
2200,-18.144597631312568,-217.02246178432023
2300,-18.246972136761233,-216.19989630456274
2400,-18.33946610537193,-215.44738935265519
2500,-18.423379884598198,-214.75903473335143
2600,-18.499816897382594,-214.1294883106508
2700,-18.569717331974363,-213.55391521337384
2800,-18.633885472757608,-213.0279402928461
2900,-18.69301196992253,-212.5476023461604
3000,-18.747692072759317,-212.10931227185173
3100,-18.798440618780123,-211.70981510945322
3200,-18.845704412920377,-211.34615580904682
3300,-18.889872488944686,-211.01564847113303
3400,-18.93128465192547,-210.71584880064185
3500,-18.970238615510159,-210.44452946745193
3600,-19.006995986617376,-210.19965809379809
3700,-19.041787302973198,-209.97937759503736
3800,-19.074816283650048,-209.78198863473304
3900,-19.106263429021098,-209.60593394257563
4000,-19.136289076070312,-209.44978430342005
4100,-19.165035997571351,-209.31222604201909
4200,-19.192631617842007,-209.19204982584296
4300,-19.219189904647852,-209.08814066430386
4400,-19.244812987489254,-208.9994689791049
4500,-19.269592544282645,-208.92508264263211
4600,-19.293610992438911,-208.86409989604803
4700,-19.316942516285525,-208.81570306493572
4800,-19.339653957157054,-208.77913299731725
4900,-19.361805591140183,-208.753684155531
5000,-19.383451814811671,-208.73870028453354
5100,-19.404641759020368,-208.73357057947334
5200,-19.425419842139895,-208.73772628488516
5300,-19.445826279797512,-208.75063761858871
5400,-19.465897554502153,-208.77181096658191
5500,-19.485666853038214,-208.80078623738004
5600,-19.505164469104987,-208.83713433873575
5700,-19.524418172095906,-208.88045468838382
5800,-19.543453531929387,-208.93037275457181
5900,-19.562294196493383,-208.9865376108404
6000,-19.580962113030729,-209.04861954002683
6100,-19.599477689230394,-209.11630774924964
6200,-19.617859894351039,-209.18930827455586
6300,-19.636126304810318,-209.26734218291284
6400,-19.654293107435791,-209.35014415004159
6500,-19.672375077448581,-209.43746148994552
6600,-19.690385557016214,-209.52905365086158
