"Frequency / Hz","Vm2:Measured voltage","Vm2:Measured voltage"
100,2.947322060315555,-265.97599216573883
200,-3.0007388469293583,-262.0007325204374
300,-6.4043208406425789,-258.11850474091858
400,-8.7428318244058048,-254.36847990635005
500,-10.483381181674623,-250.78221651817915
600,-11.837154812655326,-247.38286998088691
700,-12.919404291913533,-244.18530303485574
800,-13.80095593390485,-241.19688268608593
900,-14.528995911314667,-238.41868719133996
1000,-15.136794272383812,-235.84686829848027
1100,-15.64877607190015,-233.47397783014455
1200,-16.083403328560351,-231.29014146422338
1300,-16.454932763158055,-229.28402625432969
1400,-16.774552447254599,-227.44359314513315
1500,-17.051152771793689,-225.75665281178502
1600,-17.291869732040844,-224.21125542749147
1700,-17.502479416819348,-222.79594821326145
1800,-17.68769117934163,-221.49993238330578
1900,-17.851369476628751,-220.31314645682892
2000,-17.99670412478369,-219.22629761552906
2100,-18.126342439896057,-218.2308578343833
2200,-18.242492755110504,-217.3190371939483
2300,-18.347006148292753,-216.48374337258457
2400,-18.441441406551757,-215.71853368228173
2500,-18.527116979157292,-215.01756394082403
2600,-18.605152759334128,-214.37553710755685
2700,-18.676503853254349,-213.78765350524117
2800,-18.741988013951453,-213.24956372270938
2900,-18.802308025188015,-212.75732481012912
3000,-18.858070051958418,-212.30736002121247
3100,-18.909798744309676,-211.89642212528724
3200,-18.957949725655109,-211.52156019522724
3300,-19.002919955934988,-211.18008966085446
3400,-19.045056367523163,-210.86956541195838
3500,-19.084663087576519,-210.5877576747132
3600,-19.122007499529442,-210.33263040881192
3700,-19.157325349533867,-210.10232197278503
3800,-19.190825058628242,-209.89512783450999
3900,-19.222691377615053,-209.70948509067313
4000,-19.253088491105814,-209.54395861241201
4100,-19.282162659939825,-209.39722865222413
4200,-19.310044475236232,-209.26807974119086
4300,-19.336850784056363,-209.15539076010504
4400,-19.362686337577063,-209.05812606477951
4500,-19.387645204097783,-208.97532756591525
4600,-19.411811983366668,-208.90610767855665
4700,-19.435262854579165,-208.84964306094611
4800,-19.458066484733621,-208.80516907042528
4900,-19.480284822634516,-208.77197486891353
5000,-19.501973799251203,-208.7493991005752
5100,-19.523183954733515,-208.7368260677753
5200,-19.543961003715598,-208.73368233446914
5300,-19.564346356190477,-208.73943365309802
5400,-19.584377597381881,-208.75358215902205
5500,-19.60408893467006,-208.77566372183884
5600,-19.623511608945908,-208.80524541538185
5700,-19.642674271380134,-208.84192301862706
5800,-19.66160331528717,-208.88531854303369
5900,-19.680323159702549,-208.93507777150398
6000,-19.698856475791803,-208.99086784468494
6100,-19.717224351897748,-209.05237495871029
6200,-19.735446397549417,-209.11930225324949
6300,-19.753540791052046,-209.1913680006821
6400,-19.771524283960783,-209.26830417558963
6500,-19.789412180023579,-209.34985548126491
6600,-19.807218314592618,-209.43577884902035
6700,-19.824955058161045,-209.52584336824745
6800,-19.842633368740707,-209.61983053437612
6900,-19.860262908839584,-209.71753464274539
7000,-19.877852232200997,-209.81876310419463
7100,-19.895409029803833,-209.92333645617177
7200,-19.912940409665474,-210.03108787452626
7300,-19.930453172229598,-210.14186207978446
7400,-19.94795403588472,-210.25551364568375
7500,-19.965449769886462,-210.3719048705677
7600,-19.982947204192595,-210.49090350024727
7700,-20.000453107427688,-210.61238067706651
7800,-20.017973954936643,-210.73620951526541
7900,-20.035515634305799,-210.86226461195392
8000,-20.053083161242107,-210.99042264167949
8100,-20.070680483412524,-211.12056391939979
8200,-20.088310441324978,-211.25257458943594
8300,-20.105974919855694,-211.38634885342194
8400,-20.123675181977944,-211.52179059297586
8500,-20.141412321095423,-211.65881378739024
8600,-20.159187726339233,-211.79734142028136
8700,-20.177003437510507,-211.93730292395691
8800,-20.194862279516048,-212.07863067947557
8900,-20.212767716334724,-212.22125643071277
9000,-20.230723442293769,-212.36510862160472
9100,-20.248732811320526,-212.51011152501204
9200,-20.266798269462726,-212.65618656797255
9300,-20.284920976738775,-212.80325562220477
9400,-20.303100765143931,-212.9512453379447
9500,-20.321336485274955,-213.10009113968641
9600,-20.33962666741899,-213.24973944344524
9700,-20.357970302144469,-213.400147105337
9800,-20.376367479483619,-213.5512779692892
9900,-20.394819643661183,-213.70309743503324
10000,-20.413329335691365,-213.85556681415756
11000,-20.601751036460772,-215.40522635727166
12000,-20.795974854468003,-216.97638159313411
13000,-20.99554942977338,-218.54337496023658
14000,-21.199781552616397,-220.08847851571332
15000,-21.40786553663245,-221.59995917632574
16000,-21.619072492551279,-223.06968339406447
17000,-21.83257347161268,-224.49253320942921
18000,-22.047693650639442,-225.86520879987006
19000,-22.263777193804728,-227.18628854985982
20000,-22.480224475765965,-228.45523676954934
21000,-22.696516295152492,-229.6723205776091
22000,-22.912198603244128,-230.83844312843101
23000,-23.126886112972404,-231.95494218324342
24000,-23.340252909410953,-233.02328028217096
25000,-23.551977443408546,-234.04521385773387
26000,-23.761860202694159,-235.02279648618685
27000,-23.969663248593175,-235.95774745574687
28000,-24.175261174469711,-236.85206562124108
29000,-24.378505029571777,-237.70777014227357
30000,-24.57928660491266,-238.52668005656395
31000,-24.777529083422607,-239.31060884706002
32000,-24.973171221209839,-240.06133902520742
33000,-25.166172028668832,-240.78062977195748
34000,-25.356522850235482,-241.47008033061667
35000,-25.544188058262872,-242.13108646781211
36000,-25.729173891602031,-242.76540173388997
37000,-25.911481853375008,-243.3741243091456
38000,-26.091146248311556,-243.95876431798183
39000,-26.268168272426237,-244.52055785235072
40000,-26.442578524852223,-245.06061710921836
41000,-26.61441259425008,-245.58004968539433
42000,-26.78370308628903,-246.07990116792681
43000,-26.950482680004072,-246.56120100024543
44000,-27.114806563318172,-247.02493362435285
45000,-27.276715566867065,-247.47177335851495
46000,-27.436232135865982,-247.90278093674749
47000,-27.59342470099272,-248.31849839048192
48000,-27.748334067875653,-248.71987424242542
49000,-27.900991909279664,-249.1075070406867
50000,-28.051452393521611,-249.48201484420056
51000,-28.199764140835214,-249.84402546358632
52000,-28.345970529784495,-250.19410570814847
53000,-28.490108233859694,-250.53281086824759
54000,-28.632227298942535,-250.86075805445989
55000,-28.772389411608707,-251.17827821532907
56000,-28.91059956996202,-251.48592074000501
57000,-29.046940071569335,-251.7840421412966
58000,-29.181428874153145,-252.07319813716055
59000,-29.314104840807861,-252.35365260544586
60000,-29.445017294770732,-252.6257841564219
61000,-29.574206210371084,-252.88996494441025
62000,-29.701709354398606,-253.14650862714015
63000,-29.827556792242884,-253.39570211885513
