"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,32.885581664486395,-94.615346597930724
200,27.492993935720712,-95.129934924970684
300,24.006709577838169,-96.256504343976232
400,21.458674040300004,-93.179275681885187
500,18.749559032598686,-90.964337125661388
600,15.61056755884303,-106.46700017176862
700,15.59717944506839,-92.315252757828887
800,14.529890015121193,-94.42977278850762
900,13.633736014193328,-91.26887393606313
1000,12.657035589673583,-94.031914348897374
1100,12.006841969691827,-95.057734637047659
1200,11.686243660390026,-91.096723026724547
1300,10.882246814447424,-97.370743871147383
1400,10.604855692823623,-94.565519033691743
1500,9.7882452226101329,-95.980184204018528
1600,9.3155474529083016,-95.912339052300339
1700,8.4063662241688633,-97.709901173524258
1800,6.7662807184066924,-101.24300076205797
1900,7.8459067760399757,-97.678516489798653
2000,7.2179488636290596,-94.930381234937869
2100,7.1210034072514761,-95.757881940906415
2200,6.3440523018418986,-96.753320632462305
2300,5.729104993606958,-101.48868949794222
2400,4.5681977010362846,-106.45458459164307
2500,5.2855460884645158,-101.36351894666056
2600,4.9011629285106686,-100.09343159778777
2700,4.8173356546898036,-100.02156030806324
2800,4.1155658632169771,-101.20301161590083
2900,3.5525690191653405,-104.17946216900707
3000,2.7847868967384133,-104.66948415886539
3100,3.1640405442010353,-105.25268751236582
3200,2.908255590372085,-105.76122015862204
3300,2.7339946173357168,-106.13495111481636
3400,2.342355521985573,-105.97217975239546
3500,2.014904409172146,-106.36491828073244
3600,1.8251836002442463,-107.35664152111202
3700,1.5731339101794535,-108.57107010492572
3800,1.2490832060564514,-108.00800185704553
3900,1.129792165542167,-108.89731539049184
4000,0.83536985257932839,-110.40420747125027
4100,0.55785886002863438,-111.40562698400532
4200,0.21930818371547184,-111.22323299473636
4300,-0.090489497367650953,-112.57133155107218
4400,-0.054494655756315458,-114.44713383161735
4500,-0.29921113530815691,-114.73923237513559
4600,-0.44511155723749984,-113.74182398417813
4700,-0.60407205839057609,-114.61515201933051
4800,-0.88140730215054242,-114.89521765851053
4900,-0.81194631611407542,-114.95500217655292
5000,-1.1385672314402679,-114.20615104692952
5100,-1.4109318939542499,-115.16172815955889
5200,-1.5515400412698641,-115.69255043124463
5300,-1.6209236382275312,-116.06958644455075
5400,-1.9342013769910689,-118.36078152393316
5500,-2.0575934627839771,-117.5530352279124
5600,-2.241626744699627,-118.9004822244144
5700,-2.3625775030962166,-119.65278248779222
5800,-2.6091775027343673,-118.99640765782755
5900,-2.7138283340475819,-119.41369929957109
6000,-2.6985726207528407,-120.89213105781738
6100,-2.7332879347933678,-120.91846890595203
6200,-2.9864620868570584,-121.66027027653533
6300,-3.0793079754543031,-121.5259658110852
6400,-3.5219092178628908,-122.49543159070919
6500,-3.5401451158257737,-122.47862380626043
6600,-3.6343899492259473,-123.10081582889183
6700,-3.6011796232807862,-123.79798725017524
6800,-3.8405964064500573,-124.4562707010554
6900,-4.0801575574338331,-124.42409859483374
7000,-4.3966050550314604,-124.86363195637544
7100,-4.3950213632937549,-126.15183946655702
7200,-4.5217720800516989,-124.99242513657835
7300,-4.6467788440599351,-127.48509375367031
7400,-4.8871491068029442,-128.17521441761198
7500,-4.9302830560117075,-127.51667508708601
7600,-5.1286767088125806,-128.13807972382193
7700,-5.2761603784704221,-129.12913602662465
7800,-5.1519105685472733,-130.63997519670579
7900,-5.4251466022616803,-130.286266433657
8000,-5.7454373840103488,-131.31332226656656
8100,-5.6926942813746439,-132.33686267780948
8200,-6.0144532532240591,-132.39371707043983
8300,-6.0076617142984698,-133.31546363932077
8400,-6.5898252909645239,-133.42559351938257
8500,-6.5287639679022664,-135.41320453218978
8600,-6.6658432889428711,-133.99414302469268
8700,-6.7945188459531671,-135.12500910369232
8800,-6.701653967236787,-135.31180139128415
8900,-6.9484885200335187,-135.56473409256688
9000,-6.7304558935493812,-136.76079004913404
9100,-6.8620600016342408,-135.92993563226216
9200,-6.9776716004709236,-137.5191100536895
9300,-7.1663176648950664,-136.6455272995843
9400,-7.2223446053056648,-137.01008151268618
9500,-7.3010552323421942,-137.74634461085319
9600,-7.5375602641724848,-138.44494594745134
9700,-7.6341903712074828,-138.80736242618931
9800,-7.7703586208791791,-138.66822650043534
9900,-7.9805553211665226,-140.12999211861214
10000,-7.999305666038059,-139.0719219320909
11000,-8.8314082749087923,-146.04276407418499
12000,-9.9900607593498183,-150.71819811430137
13000,-11.091821799622224,-155.30529826385424
14000,-11.872545402332959,-157.89978313399595
15000,-12.61326977934214,-162.81352638502216
16000,-13.634266289834663,-167.67655269776228
17000,-14.326585067651976,-172.05583938467581
18000,-15.178931768961746,-175.54400945168018
19000,-15.628700498333338,-178.82591458915769
20000,-16.261033171083188,-185.41491009675872
21000,-17.596209345787187,-187.03532717867134
22000,-17.773850445068234,-191.5321723454305
23000,-18.841436715629488,-196.77646836011905
24000,-14.339163889475472,-186.78119827158017
25000,-14.755405325742315,-226.5491646063351
