"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,32.470601692289975,-148.72885678107417
200,37.915594674628814,-97.366935039611917
300,33.14471010613812,-100.56818393704231
400,29.668239431131941,-97.778171117062158
500,26.996541735349517,-94.550961169213025
600,23.738450312173967,-110.7024043344056
700,20.910051565511232,-96.45353327728391
800,22.106912722313453,-102.35112088662939
900,19.277014746103468,-94.28927363290201
1000,19.099860137149079,-96.944842104030798
1100,18.370268430226982,-94.389345779582627
1200,15.70859753351878,-85.48073705434696
1300,18.481931167652117,-102.53191954063784
1400,18.264425559815795,-90.519591049858704
1500,17.353875563804507,-96.837949084092415
1600,16.172658826563257,-97.053596807980924
1700,15.611128718749946,-99.74193497196022
1800,13.561089464518989,-104.96090369121619
1900,15.145327330157103,-97.853275386001371
2000,14.833682787554514,-98.796064722853572
2100,13.945029726475486,-98.715528419449996
2200,12.687276595624407,-99.984626458614002
2300,12.864685717049182,-103.43281857621555
2400,11.62595147196652,-103.15348398615134
2500,12.619213719918399,-96.843142598319815
2600,12.083606492439598,-103.41110508249922
2700,11.65050136923346,-100.35382487881088
2800,10.877497234022497,-105.46987539601857
2900,10.470296808232217,-104.9126807157492
3000,9.8747817629260624,-102.4202229556128
3100,10.319503650336731,-100.55425402982742
3200,10.242959009593179,-108.33914267892774
3300,9.4866414560030439,-105.51311466451023
3400,8.9878201556276078,-105.16240083616555
3500,9.0908120959633223,-106.28485214027125
3600,9.5446176539559069,-103.75660706109397
3700,8.5963111047595913,-109.45862225099316
3800,8.1286321403512289,-108.12011220018802
3900,8.0360780946628321,-108.22610184127954
4000,8.2043026022790659,-109.19811548096487
4100,7.5336335038533502,-109.56982147300826
4200,6.6593137987729989,-113.28691779964043
4300,7.344929645824064,-110.38698498711165
4400,7.0204251583549873,-113.54659492900564
4500,6.5168219136160586,-111.67485345870232
4600,6.6138086699089182,-112.81436772274343
4700,6.4179966117501364,-116.40641892867774
4800,6.5692284628962971,-113.55999768413771
4900,6.1787976817166612,-113.9277384119672
5000,6.411575741460207,-115.26294354034862
5100,5.5378986153019705,-116.37019615576064
5200,5.8088452423304107,-112.39749020024679
5300,5.6537228045658861,-115.27039763728939
5400,4.8193739286554891,-116.00197882789469
5500,5.5081539344819603,-114.55916181493285
5600,4.7270508004979792,-118.3513759147064
5700,4.453389411715766,-118.05078287551625
5800,4.9754135117816665,-116.88592328701755
5900,4.1708249375531912,-119.76672569381198
6000,4.0948718520197405,-119.75487508610837
6100,4.6401356908664928,-120.1616206564677
6200,3.7982438763938702,-120.58567713136928
6300,3.8141204595784788,-120.57493968158428
6400,3.8142402624675729,-124.16698573442002
6500,3.4714043380411401,-120.89122727120008
6600,3.7169394468545307,-123.70381914048032
6700,3.2464806084773019,-123.11232866240839
6800,3.4151689750392764,-123.80521827320443
6900,2.7304144071561991,-122.79004730467116
7000,2.8345445413394432,-125.0182194689157
7100,2.631532429285977,-126.1528225245267
7200,2.9755699186043465,-124.41021301707428
7300,2.2925560128611062,-126.69366473286117
7400,2.3277589498938127,-124.90392184616016
7500,2.3571153594975587,-128.86785596977464
7600,2.1294370857396854,-124.0938739394331
7700,1.879405939225528,-129.08479313175664
7800,1.8506012880578084,-129.45993426468982
7900,1.7258854227251199,-129.84118683808552
8000,1.7008787992313532,-129.29142883751331
8100,1.0716678228327265,-130.32779814111242
8200,1.167589613428927,-131.7933739347574
8300,0.96705159042872479,-131.83090453604032
8400,0.68046268499624674,-131.29310716257871
8500,0.71095595468532513,-134.33349009118058
8600,0.59685932289574473,-133.10752078239787
8700,0.5782844544216762,-135.24226999125878
8800,0.64075632439139218,-134.34538638994556
8900,0.33981264166170755,-135.42135290812641
9000,0.47002761662059611,-135.82795176675242
9100,0.15560111628406298,-135.67482180500133
9200,0.27641644952177552,-136.36635394215855
9300,0.077622863687755617,-135.28737076526372
9400,-0.008499831957964419,-136.91864172818271
9500,0.091202056299688125,-136.13677603708302
9600,-0.28981047770961965,-137.29921624907902
9700,-0.12647034617933822,-138.41432179627819
9800,-0.33066899635688657,-136.59441647944556
9900,-0.50893682138313801,-138.56769225339914
10000,-0.3757436303438797,-137.13858441067737
11000,-1.7215787345501068,-141.10926261007097
12000,-2.572866125408773,-146.47756114503579
13000,-3.7680998367042879,-154.02035749183298
14000,-4.0874475656765243,-156.08548473949804
15000,-4.9018820750675767,-157.16588612796076
16000,-6.0532669602308307,-165.92628932227862
17000,-6.9389056502281026,-168.23399621978089
18000,-7.6708287155410817,-171.37719387113788
19000,-7.3243823006462891,-176.28956371952577
20000,-7.9515884902481915,-183.0984103490388
21000,-9.4434305742057756,-183.77416330867638
22000,-10.019603757954698,-192.93382992900544
23000,-9.6940482841237277,-188.70316670731501
24000,-7.1619147433079906,-185.03358926947047
25000,-6.922760308701478,-215.57031622992733
