"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,0.015757378859415541,-2.3988438051679739
200,-0.063933715897572296,-5.0196300231989301
300,-0.17522585715178057,-7.2513783182754921
400,-0.34735072914202125,-9.5678303074760507
500,-0.51792437601956909,-11.48128669275704
600,-0.73572773137762515,-12.848413921305788
700,-0.91861805131113905,-13.834334966613174
800,-1.0674532338080922,-15.156726865274232
900,-1.2637585783303815,-16.140314148301506
1000,-1.2770372602228997,-16.770046681457906
1100,-1.376844702096363,-17.648082060332833
1200,-1.4723011220783124,-18.849242491763629
1300,-1.6527508554852488,-20.003518185549915
1400,-1.6941476666304067,-20.8947648138132
1500,-1.8625014862294877,-22.317697033048169
1600,-1.9959596352496458,-22.087523374418922
1700,-2.1324547370740499,-22.509414914078018
1800,-2.1622324983576462,-22.559967863405539
1900,-2.2025128407344181,-23.416680376215645
2000,-2.1829584058028919,-24.092702089805396
2100,-2.2075127066365128,-25.810682984499152
2200,-2.418180962850855,-25.791462965285984
2300,-2.5120535425937907,-26.159236501829135
2400,-2.4802547973430893,-25.526075166061609
2500,-2.4340858191770058,-26.478856094224575
2600,-2.383280845710257,-27.68478603014912
2700,-2.5022849561024225,-29.864167846528936
2800,-2.6479507327662715,-29.420187885214837
2900,-2.6803717498200763,-30.094607613685714
3000,-2.6205093291130983,-30.087699169552803
3100,-2.5764006119860254,-30.788085310729699
3200,-2.6713519656699134,-32.054005880680954
3300,-2.8926314181378174,-32.278243363321039
3400,-2.6721434043118411,-31.912734113877587
3500,-2.6546158221355882,-33.167311238687653
3600,-2.6037704472228413,-34.871729288991084
3700,-2.7216748486396996,-35.781198908892662
3800,-2.7848064932352234,-35.744128256387576
3900,-2.6524070803591626,-35.94352314647702
4000,-2.6932530706150271,-37.982045695645759
4100,-2.7610491136058619,-38.647078172275648
4200,-2.7381168993854526,-38.86132353918233
4300,-2.6378931941148798,-40.260318061231551
4400,-2.754321073415511,-41.272510605066294
4500,-2.8367055817109614,-41.41055391315728
4600,-2.6993181696134205,-40.929292595284736
4700,-2.6687808612771367,-42.449011602722635
4800,-2.7890351151992219,-43.233066171160679
4900,-2.7936544311617029,-43.218210199887523
5000,-2.9227231668181988,-44.78641293245731
5100,-2.9371817937969276,-44.739526924781771
5200,-2.9304424383082592,-45.374721055327846
5300,-2.9013538958239815,-46.751105397819657
5400,-2.9673149145012068,-47.4582085349438
5500,-2.9908649661257192,-48.284394114728457
5600,-2.997328312983095,-49.907110898149284
5700,-3.0822229017114826,-49.427004018054362
5800,-2.9231298764166622,-51.169894221722856
5900,-3.0838332172996159,-52.269324948120456
6000,-3.1007564577386937,-51.27577270074984
6100,-2.9840592259634042,-53.226627870717316
6200,-3.0194693855669441,-54.499362602411885
6300,-3.1275893289304744,-54.839606992363947
6400,-3.1013276075936833,-55.965582672250775
6500,-3.0470177346472713,-56.067503791791694
6600,-3.0458594874065801,-57.064328126722145
6700,-3.1514156107326703,-57.873827713306937
6800,-3.1179237538652211,-59.456046368037391
6900,-3.2862068072480852,-58.962473996420741
7000,-3.0207284636989966,-61.111033879776386
7100,-3.2116648256983815,-62.084219573031092
7200,-3.1079913846744081,-61.56976938648031
7300,-3.103389554071645,-63.009325994471183
7400,-3.2291304331139772,-63.656113395844351
7500,-3.1270318058957454,-64.326876165174042
7600,-3.2056342186319045,-65.000487795227698
7700,-3.1744223641657014,-66.79156309487766
7800,-3.1602779081733972,-67.142700440215904
7900,-3.1217908265688004,-68.438117754153112
8000,-3.0278659654633322,-68.708308878354188
8100,-3.1128536190215028,-71.380951462757423
8200,-3.058409138587483,-70.352996525627347
8300,-3.023617714265475,-72.705595754279557
8400,-3.0900229368180332,-73.440716504881692
8500,-3.1790210123536506,-74.538831091173492
8600,-2.9923849310267983,-75.267416313561924
8700,-3.2004245880434246,-75.703218716126329
8800,-3.1816388257380872,-76.884547523922066
8900,-3.2016003793570968,-76.723015966379663
9000,-3.224212234471842,-78.128871012714598
9100,-3.2660228202463149,-77.660225274584306
9200,-3.3343797082829023,-78.863180420477534
9300,-3.3884595455482907,-79.646206012202768
9400,-3.3617237971939291,-80.039145079035052
9500,-3.3765444737701538,-81.547043654946563
9600,-3.5495859803224845,-81.011753744761279
9700,-3.5110740351888534,-83.056009086477999
9800,-3.6301018804188163,-84.034338315645812
9900,-3.6505088731208861,-84.248268755636758
10000,-3.6311620525095796,-85.548939843526057
11000,-4.0627038567863636,-93.578222555593328
12000,-3.8462468349469807,-103.48062944477284
13000,-4.0380033967848936,-113.11444665593108
14000,-4.6327154791174205,-118.94513596022844
15000,-5.0256363254522594,-126.37626688110552
16000,-5.1414418868630074,-137.73463531348958
17000,-5.5731375602796014,-149.9073250221233
18000,-5.6929122577819466,-154.33521973343537
19000,-6.1327919619845295,-160.84364836412382
20000,-6.5192107034856592,-174.93924393509101
21000,-7.5728221176389816,-189.29652154525525
22000,-7.4745375438136019,-195.97133368424525
23000,-7.4704390535069454,-202.96664921676791
24000,-3.0573109144259822,-206.00100005151396
25000,-4.9599678059195762,-262.83116031761767
