"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,0.01064420758585141,-2.6459725947207873
200,-0.01091098630306429,-4.8346531038967351
300,-0.16477289410422608,-7.0323388650862206
400,-0.32712964890256846,-8.9747556617792466
500,-0.40454664874074375,-11.042778795330602
600,-0.49812659240961904,-15.012754803917094
700,-0.83268606243771437,-14.616943882119175
800,-1.125889632713835,-16.499587978221367
900,-1.2204391919176154,-18.04544599918432
1000,-1.3543654760586943,-18.971768587555076
1100,-1.6756593867871779,-18.849151425100914
1200,-1.6778618414673785,-22.658108308489791
1300,-1.7322577153891061,-19.853573140948267
1400,-1.9179707411012537,-20.471396398638863
1500,-2.0504608712859054,-21.425848570748176
1600,-1.9714248151797074,-21.988753711967004
1700,-2.0230577633531666,-23.372173395773046
1800,-1.6630522488072237,-27.469272333116084
1900,-2.3367055475997227,-23.126076969517474
2000,-2.5563158895178679,-24.203896646843464
2100,-2.605807330070733,-25.814949978870565
2200,-2.416349003267956,-25.471701226071776
2300,-2.1633818476094357,-26.206010924724463
2400,-2.3393367711736723,-29.088368995934626
2500,-2.5190180084823228,-27.774387657155742
2600,-2.6239519505147917,-27.988175600268395
2700,-2.6706920498965534,-29.186783266074027
2800,-2.5559215262074773,-30.535195491257209
2900,-2.4163417049189979,-32.164633318655291
3000,-3.0221748100395223,-29.480738620289817
3100,-2.6377567270904696,-33.54748373903476
3200,-2.5448857983962272,-33.57199044332166
3300,-2.5373239804219483,-35.046357302580184
3400,-2.7739205688755577,-35.976102705450039
3500,-2.9395258384536067,-36.392268569912375
3600,-2.2462894182951074,-33.440638647173564
3700,-2.7628406086921946,-37.960711745342998
3800,-2.7502629156118075,-38.309919918972952
3900,-2.9417088802992142,-39.849804356201531
4000,-2.7156773735505895,-39.698684023102139
4100,-2.6422980918971279,-40.810352266036404
4200,-2.4491178782870233,-45.322275971248565
4300,-2.8030739512004632,-43.889201407802609
4400,-2.5842959593378727,-46.57234764506498
4500,-2.6639158059620893,-45.836567959063522
4600,-2.8843429713915492,-46.538102869993772
4700,-2.7287446791005951,-47.574745563861882
4800,-3.3541152738481794,-47.635745212914706
4900,-2.8567225317419376,-47.860582451185024
5000,-2.9254230102380769,-46.46207519167784
5100,-2.8458026531858427,-49.09658416969409
5200,-2.8964556835443074,-51.127054511510018
5300,-2.9026311403164389,-50.27069805806341
5400,-2.3957618733193637,-54.254186105453769
5500,-2.9461367222843666,-53.904994722387507
5600,-2.8895752103565995,-55.301921413736814
5700,-3.0114090097123407,-55.654932383222139
5800,-2.8857119819886101,-57.206413723871556
5900,-2.9413938425307289,-57.820884179118011
6000,-2.7317068607781501,-54.924319904492776
6100,-2.8193704994088451,-58.709812265997186
6200,-2.6598759254360256,-58.457335988354707
6300,-2.9033242705636049,-60.596754857024365
6400,-2.7433182340573081,-62.731541724210182
6500,-2.813567867538759,-63.599358528753775
6600,-3.0713889146596673,-60.505093011062364
6700,-2.9276481364686502,-64.105423908458235
6800,-2.7587076490649185,-63.139223116057906
6900,-2.9335044013299267,-65.811682643040086
7000,-2.9511139811011371,-67.751223274867868
7100,-3.08056608598985,-69.518111379920427
7200,-3.2540663838199086,-66.55430617131141
7300,-3.0701344142210214,-69.86058094987132
7400,-3.0411669149593568,-71.452334904179324
7500,-2.9579713045279341,-72.126289902932484
7600,-3.0504203725450663,-74.184404770335462
7700,-3.1911108558784269,-73.806757014415822
7800,-2.8189847505780325,-73.775883512367585
7900,-3.00792530074242,-77.214930730199072
8000,-3.0991254029530291,-78.100275874818792
8100,-3.1258116983625661,-80.497196511883132
8200,-3.3312753908873365,-82.229731045423378
8300,-3.2749376157102756,-82.891634824700972
8400,-3.3948594300222021,-87.041554486606671
8500,-3.6240075293107159,-86.173529879117311
8600,-3.8911168198824857,-87.986319663042082
8700,-3.7357684942096183,-88.45380501081533
8800,-3.9030493959300609,-88.029635138138417
8900,-3.7054339996341481,-90.382344627619304
9000,-3.8851644879741505,-88.842214517366102
9100,-3.745648071480252,-90.435544409682933
9200,-3.5162202476880537,-91.464236690149519
9300,-3.8944640496951335,-90.409036754972831
9400,-3.6332861994471752,-92.742254339477554
9500,-3.6531363000115658,-91.471614873840551
9600,-3.5249839034565369,-95.981315993041306
9700,-3.8267947069748014,-95.944759784439924
9800,-3.9564797654876949,-96.577184483228947
9900,-4.1763831734678085,-100.3404996541591
10000,-4.2557274770626732,-98.384352484539576
11000,-4.6261590873810903,-111.04793596495318
12000,-5.0025917280519705,-116.58630662819682
13000,-6.3600385563487034,-130.33408283293778
14000,-7.1605334663334208,-134.89376348731517
15000,-8.0579993969511303,-142.95438512455132
16000,-8.9351475701647249,-152.79224442370324
17000,-9.8404894625804662,-157.38668768927866
18000,-10.95276228620782,-165.22899122685817
19000,-11.334324662344653,-170.51125613318266
20000,-11.944688212339544,-179.80525253153243
21000,-13.229241275896202,-182.01093136671335
22000,-13.962931073273344,-187.00576583962311
23000,-15.256802747627171,-194.56498395102591
24000,-10.270296058607705,-173.02805694361186
25000,-10.451852925259789,-219.74421249747715
