"Frequency / Hz","Vm2:Measured voltage","Vm2:Measured voltage"
100,-4.1219152809210273,94.023674446428885
200,-10.069979299531692,97.998961023984037
300,-13.473564467282308,101.88120401423018
400,-15.81207858339549,105.63124341601986
500,-17.552630939155321,109.21752272923619
600,-18.906407359545749,112.61688696353637
700,-19.988659362293227,115.81447331590063
800,-20.870213222089546,118.80291454703786
900,-21.598255085871703,121.58113211288519
1000,-22.206054986510246,124.15297397487129
1100,-22.718037970437059,126.52588803733144
1200,-23.152666051965074,128.70974837159977
1300,-23.524195949653112,130.71588769186516
1400,-23.843815733702666,132.55634483266812
1500,-24.120415794092729,134.24330890063578
1600,-24.361132125775061,135.78872949838211
1700,-24.571740818462754,137.20405916804731
1800,-24.756951228458071,138.50009644086916
1900,-24.920627819360313,139.68690252310131
2000,-25.065960418751388,140.77376993864101
2100,-25.195596360447489,141.76922640078791
2200,-25.311744003257743,142.68106150627642
2300,-25.416254459814333,143.51636725178679
2400,-25.51068656224006,144.28158600965523
2500,-25.596358815993945,144.98256167091319
2600,-25.674391181800054,145.62459102713086
2700,-25.745738844557057,146.21247356715051
2800,-25.811219646155656,146.75055859630547
2900,-25.871536467505116,147.24278906199248
3000,-25.927295576360052,147.69274183086313
3100,-25.979021727326533,148.10366439566508
3200,-26.02717064546313,148.47850809902388
3300,-26.072139384001957,148.8199580860547
3400,-26.11427495386075,149.13046020050433
3500,-26.15388153942601,149.41224509304146
3600,-26.191226553512902,149.66734979939221
3700,-26.226545737614408,149.89763703653696
3800,-26.260047469350873,150.10481243848704
3900,-26.29191641425551,150.29043997385145
4000,-26.322316629234493,150.45595572475472
4100,-26.351394207752982,150.60268019993183
4200,-26.379279540039047,150.7318293592981
4300,-26.406089248846225,150.84452446948467
4400,-26.431927851581356,150.94180092339221
4500,-26.456889190303695,151.02461612900768
4600,-26.481057665524649,151.09385656081568
4700,-26.504509304247041,151.15034406376694
4800,-26.527312687361654,151.19484148127808
4900,-26.549529759162635,151.22805767834916
5000,-26.57121653753611,151.25065203092839
5100,-26.5924237426781,151.26323844179393
5200,-26.613197354467559,151.2663889403552
5300,-26.633579114549555,151.26063694531288
5400,-26.653606977250295,151.24648022080007
5500,-26.673315518778455,151.22438361286501
5600,-26.692736305523596,151.19478157830247
5700,-26.711898227453361,151.15808058095084
5800,-26.730827791557065,151.11466135544748
5900,-26.749549378834519,151.06488106190037
6000,-26.76808546148451,151.00907532855544
6100,-26.786456780168034,150.94756015689012
6200,-26.804682483793457,150.88063367033638
6300,-26.822780234264513,150.80857765733461
6400,-26.840766283705108,150.73165888563454
6500,-26.858655532612854,150.65013015768128
6600,-26.876461581762747,150.56423110380595
6700,-26.894196788832339,150.4741887397534
6800,-26.911872341072321,150.38021784227865
6900,-26.929498352070119,150.28252121804638
7000,-26.947083985320361,150.18128997679906
7100,-26.964637600031537,150.07670390447487
7200,-26.982166908742823,149.96893203046994
7300,-26.999679129770115,149.85813343624656
7400,-27.017181114898637,149.74445830410576
7500,-27.034679433703271,149.62804913928036
7600,-27.052180401014901,149.50904203441033
7700,-27.069690043821417,149.38756781913634
7800,-27.087214018062898,149.26375291241388
7900,-27.10475749565186,149.13771974572725
8000,-27.122325055018806,149.00958669042856
8100,-27.139920608752259,148.87946754528275
8200,-27.157547400528923,148.747470731536
8300,-27.175208084277166,148.61369846209664
8400,-27.192904884040896,148.47824616450541
8500,-27.210639805208032,148.3412024355074
8600,-27.228414850333156,148.20264964773864
8700,-27.246232185727976,148.06266520288756
8800,-27.264094209409077,147.92132319293802
8900,-27.282003494288084,147.77869609213823
9000,-27.299962614197867,147.63485603588859
9100,-27.317973897752026,147.48987529558119
9200,-27.33603918308755,147.34382577926024
9300,-27.354159656029623,147.19677765245075
9400,-27.372335836985592,147.04879749356516
9500,-27.39056773934746,146.89994659441618
9600,-27.408855167334195,146.75028004509224
9700,-27.427198066078667,146.59984704054907
9800,-27.445596809097054,146.44869246957344
9900,-27.464052314669992,146.2968593795664
10000,-27.482565935586635,146.14439152893229
11000,-27.670988691805924,144.59473878022476
12000,-27.865214812341875,143.02361149309115
13000,-28.064785041618773,141.45665739990775
14000,-28.269011156279742,139.91150956756871
15000,-28.477104775974482,138.40003601324682
16000,-28.688302338978847,136.93031079798709
17000,-28.901810401912229,135.50748959137437
18000,-29.116931514784099,134.13477160681219
19000,-29.333011137123357,132.81368212224669
20000,-29.549456907543433,131.54473808897762
21000,-29.76574962859269,130.3276524091909
22000,-29.981435207026657,129.16153323145062
23000,-30.196124051777751,128.04506772812655
24000,-30.409484226446285,126.97673088398952
25000,-30.621214181080706,125.95476466508707
26000,-30.831091981074586,124.97721745374096
27000,-31.038901375402812,124.0422545981514
28000,-31.244496030848865,123.14790932740385
29000,-31.447736769716936,122.29221456815233
30000,-31.648517813788022,121.47331291959738
31000,-31.846760617940085,120.68937915830024
32000,-32.042405051501824,119.93863748363528
33000,-32.235409866886975,119.21936201564404
34000,-32.425756634656906,118.52993961756293
35000,-32.613422216810982,117.86889026813132
36000,-32.798408180816928,117.23461852231621
37000,-32.980719196679395,116.62586199096781
38000,-33.160378843199737,116.04121740025549
39000,-33.33739968149559,115.47944326550294
40000,-33.511810334615113,114.93939181752162
41000,-33.683644130958662,114.41995445308011
42000,-33.852935107863914,113.92008540479195
43000,-34.019718966925943,113.4387796130749
44000,-34.184042673607671,112.97508371353975
45000,-34.345947826443826,112.52821174943497
46000,-34.505468621027624,112.09723478085139
47000,-34.66266016098708,111.68148031474949
48000,-34.817565656001541,111.28012071616983
49000,-34.970224461684118,110.89250690809372
50000,-35.12068596457344,110.51800319273362
51000,-35.268997045086003,110.15599020926231
52000,-35.415202120681933,109.80589500080066
53000,-35.55934242060011,109.46716787184653
54000,-35.701464819436517,109.13924875113842
55000,-35.841621017393535,108.82172032951267
56000,-35.979837218446498,108.51408344959385
57000,-36.116173471662364,108.21593843998924
58000,-36.25066087841337,107.92681049477298
59000,-36.383339347193974,107.64636645779832
60000,-36.514252949511452,107.37423388951889
61000,-36.643441130812768,107.11005405872237
62000,-36.770941868158779,106.85350433728817
63000,-36.896789231663199,106.60428350890912
64000,-37.021017271410443,106.36205008113826
65000,-37.14367397958479,106.12654306238308
66000,-37.264777284249952,105.89753322623883
67000,-37.384377706129911,105.67472154595947
68000,-37.50249408338918,105.45785976112661
69000,-37.619162908825587,105.24676446605514
70000,-37.734418127871834,105.04119700149185
71000,-37.848289440924688,104.84093995870519
72000,-37.960806944902231,104.64580201784436
73000,-38.071997994978403,104.45561671034116
74000,-38.181884624179538,104.27017901889722
75000,-38.290505714443015,104.08928335500626
76000,-38.39787831257604,103.91286316325642
77000,-38.504037141580774,103.74065993060415
78000,-38.60899572704556,103.57257571128338
79000,-38.712786239193242,103.40848631469395
80000,-38.815432738292699,103.24822887081731
81000,-38.916956962048964,103.09166856310587
82000,-39.017382457480167,102.93868407332857
83000,-39.116732057663427,102.78917945536232
84000,-39.215020070531203,102.6430448413312
85000,-39.312273255142493,102.50009774570505
86000,-39.40851327546622,102.36034780667435
87000,-39.503757420837793,102.22357866096728
88000,-39.598020410075222,102.08978074314497
89000,-39.69132865321415,101.95884545196316
90000,-39.783698083434771,101.83066220379905
91000,-39.875144857972089,101.70514806577039
92000,-39.965687312511029,101.5822199964025
93000,-40.055345081627877,101.46181445914659
94000,-40.144129346691095,101.34388757017734
95000,-40.232054093793664,101.22828525571417
96000,-40.319146452055641,101.11502278604161
97000,-40.40540907448316,101.00395095444426
98000,-40.490861111479276,100.89509176059035
99000,-40.575521610581895,100.78833965188596
100000,-40.659400826177205,100.68362649848267
