"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,27.562778888947609,-93.680142785239553
200,21.089261543603932,-87.710360495646924
300,17.763111386731982,-84.581176909062265
400,15.139839190578483,-81.348439759776809
500,13.348459929372678,-79.226484146382262
600,12.053970182201756,-75.822151386043416
700,11.138799024453064,-73.38524228947901
800,10.187760108672524,-72.815532128818404
900,9.3664382567819811,-70.950219554092953
1000,9.0792596749169796,-71.919567156968881
1100,8.5449357307747942,-71.825690787766234
1200,7.9266437742221534,-72.431812439657165
1300,7.2153858456267592,-71.728306099922278
1400,6.8563751320741604,-72.647984339477901
1500,6.1468301334216395,-72.72566109314829
1600,5.9957026848563277,-70.668582807183995
1700,5.6511139956166847,-69.713890465863784
1800,5.5877793569387526,-69.446576666028989
1900,5.2934352682757968,-70.386790463420667
2000,5.1477952601332415,-71.686002088308854
2100,4.6725603362605375,-74.022746191107572
2200,4.3623014075626534,-71.759651455660617
2300,4.1337470061603101,-71.359186065854203
2400,4.3301270871406921,-70.714006694948779
2500,4.1762525724172246,-72.627384153905666
2600,3.969253030412851,-74.886515122562429
2700,3.3187048507044921,-76.721574898279243
2800,3.2158079711061527,-74.761694452741125
2900,3.0298929986564338,-75.388911471248008
3000,3.1123206287891101,-75.924403178297894
3100,3.0239510827462062,-77.258923405460024
3200,2.6411306751656722,-78.052171744573286
3300,2.3108002892099027,-76.448894586335257
3400,2.6685482731700167,-77.863958880032229
3500,2.4403836167935715,-79.599599006416796
3600,2.1691859577351877,-82.089192156458978
3700,1.8587226494639983,-82.184145382532918
3800,1.7914913389868303,-81.631929719450085
3900,1.9088215434182287,-82.935386046794392
4000,1.4890802472952975,-84.910588206134747
4100,1.2964653986415653,-85.120465184758729
4200,1.2840108634170253,-85.529879195710734
4300,1.1474310236328047,-87.781763096732774
4400,0.8540974000566286,-87.974864845927556
4500,0.74523723353347893,-87.523458221760919
4600,0.96898776475418047,-88.021049491316873
4700,0.74593964895320874,-89.79498529143109
4800,0.49746704867120384,-89.730457018887193
4900,0.49520724543000905,-89.683258133484173
5000,0.11989709471002903,-90.368799300146065
5100,0.11271798382282676,-90.225500143000659
5200,0.022350960687197156,-90.899210517668465
5300,-0.15635424570043738,-92.42626648233275
5400,-0.3236276741911378,-92.679914499118567
5500,-0.46552039313187077,-93.316569956796428
5600,-0.70098991588565351,-94.792259726956118
5700,-0.71309704438240895,-93.830669622070758
5800,-0.80808538834367627,-96.388804436464568
5900,-1.1011095497374654,-96.434484927530221
6000,-0.9836128370038153,-95.433558073825154
6100,-1.1388253659368202,-97.861086604319624
6200,-1.3353593115445244,-98.773739381082734
6300,-1.4730754739047724,-98.470700976454594
6400,-1.5915799405790736,-99.59192468596784
6500,-1.5576699810461534,-99.973905633995287
6600,-1.6800422063824925,-100.82761346021839
6700,-1.867588335908251,-100.95497521114396
6800,-2.0272154080461817,-102.45356969879512
6900,-2.1106175463380272,-101.18341859451316
7000,-2.1397294952024652,-104.29801595647686
7100,-2.4046542661821659,-104.14726471689308
7200,-2.2626128914012584,-104.23602148352623
7300,-2.4200239212981671,-105.41667562982889
7400,-2.5916306963585845,-105.33561650206438
7500,-2.5828500793453273,-106.35141657504046
7600,-2.7172534619748543,-106.5180235258718
7700,-2.8805851160642382,-108.06581678705922
7800,-2.9058480146511672,-108.40172317987277
7900,-3.0083800910686929,-109.56811314120247
8000,-2.9644122847222749,-110.18630043990171
8100,-3.2919849155199534,-111.82578761829699
8200,-3.1513251527161295,-111.2889818727851
8300,-3.3525983202450123,-113.17557816828754
8400,-3.4703664859138392,-113.44268522677964
8500,-3.6369117540386675,-113.8908730526138
8600,-3.5678229902744327,-115.159489576646
8700,-3.757693826987345,-114.65844324877079
8800,-3.8487036323735841,-115.58847822199388
8900,-3.8489579989961542,-115.39527177282828
9000,-3.9874368632326269,-116.32509821445576
9100,-3.9772822572118445,-115.83008136792841
9200,-4.1294199374358822,-116.44688210176928
9300,-4.2340868244711647,-116.81600149428226
9400,-4.2473731126173844,-117.19586993136696
9500,-4.3811504427055112,-118.22443698804321
9600,-4.4626254020076122,-117.23156941662438
9700,-4.5972237937226108,-118.8386016002087
9800,-4.7582990717949523,-119.13942560445157
9900,-4.7893057216161754,-119.22531636975644
10000,-4.8736361428292767,-120.21979744690157
11000,-5.7376247538829439,-124.61248687448587
12000,-6.1809819176855383,-131.99171636756975
13000,-6.7977117660342881,-137.98092585615808
14000,-7.4475023725516039,-140.7382831475542
15000,-7.9910457795641392,-145.09135567329361
16000,-8.414946917657776,-152.52377822449114
17000,-8.9737849519229034,-160.18630365123616
18000,-9.1281612278709581,-163.04448685499264
19000,-9.5096366333809854,-167.1472079275392
20000,-9.8706092604518485,-176.56171939586974
21000,-10.583637887431486,-186.55875380726962
22000,-10.467630664881796,-191.24184716119268
23000,-10.389073495863315,-196.19080010010882
24000,-7.4645632315944956,-195.30360419487815
25000,-6.6039656501059119,-235.19424652451937
