"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,26.713782168696738,-92.842763176243025
200,21.471304833770034,-91.564933777486942
300,18.040866182368266,-84.741232384705739
400,15.702721607811291,-80.996021666342926
500,13.864783446250149,-81.97883109163557
600,11.204632059036218,-85.232514972850382
700,10.89555198300209,-76.830164701533661
800,9.4727237794036583,-74.194619704557041
900,8.665338346718233,-75.191438522646976
1000,8.0841440810051299,-74.516615754860908
1100,7.5608541304153078,-69.340124035987316
1200,6.332782021555289,-75.660243338706252
1300,7.1259546298856851,-70.334656842684353
1400,6.6040950273955321,-68.895979272303791
1500,6.092161479549187,-68.871627597273175
1600,6.0647434265143483,-70.810485012708725
1700,5.5919811483527209,-72.415264894371361
1800,4.9812416915627225,-82.404433159934342
1900,5.1483071629458195,-68.398196822711469
2000,4.5213104592450701,-67.832052344812027
2100,4.0690821550662619,-69.896231405766514
2200,4.4414155091789365,-71.290717270580345
2300,4.6380566440534015,-75.077606587428264
2400,3.7083694047651266,-77.253307681288931
2500,3.7557345754940052,-73.669430428983304
2600,3.5576095914140278,-72.966568834008228
2700,3.2336785476526542,-74.228309011735391
2800,3.10408819210119,-77.113664617064359
2900,2.9389468141103943,-80.470193081340653
3000,2.6768520226513237,-71.529766516666967
3100,2.3862300247242523,-80.212294931689115
3200,2.494277136350433,-81.042602425656426
3300,2.2130611940315239,-82.852481474893921
3400,1.7615716852884231,-81.991647606325429
3500,1.4914677792381963,-81.178061416344377
3600,2.8743141715413829,-83.546283266263529
3700,1.415598982813919,-84.346701477907942
3800,1.367707647525326,-84.831511029279312
3900,0.89225402458362402,-85.092896272893228
4000,1.1624304722349859,-86.603357127955888
4100,1.0482935396661031,-88.320073331406391
4200,0.49015760056673108,-94.116943224163492
4300,0.37881730057711055,-90.289080727455556
4400,0.1690350625044556,-94.347628705078805
4500,0.20846865977862009,-93.125267180643689
4600,-0.10826379728376151,-92.332392385012909
4700,-0.11645695169929973,-94.321083648312168
4800,-0.72581467679595457,-90.451485653013805
4900,-0.27787133563910588,-93.764015006535502
5000,-0.13645921902241867,-91.992192471184012
5100,-0.4469378264045209,-94.978545808738559
5200,-0.77825579071798701,-96.509938870334693
5300,-0.6650350468361772,-95.700119705655908
5400,-0.7796037942388867,-102.15141236396124
5500,-1.1946471155535201,-98.670618303275702
5600,-1.3267772929043544,-100.1879158152894
5700,-1.4754564055661799,-99.81519373029785
5800,-1.5634945124257837,-101.80601607077097
5900,-1.685243967316987,-102.01720509691238
6000,-1.1449723579940456,-100.7580741698244
6100,-1.6935380127583779,-103.39158757838931
6200,-1.5345660392377791,-104.03760889052505
6300,-1.9857738672540506,-104.47609549646658
6400,-2.1061439529382837,-106.95659705245791
6500,-2.2581085817585573,-107.28124715061521
6600,-2.1110381012905806,-103.55229732054975
6700,-2.4024322463776935,-107.12315507688571
6800,-2.1642027308192042,-107.19476798538294
6900,-2.5917205794566289,-108.41128172456182
7000,-2.8086896748676664,-109.80518592270396
7100,-3.0853977708026932,-110.56702287355419
7200,-2.91827018055106,-107.52222573045117
7300,-3.11153954425534,-110.86973758613649
7400,-3.2456192760477847,-112.17974453137261
7500,-3.2493235100696873,-113.02407333944271
7600,-3.5104748214825259,-114.14554986466624
7700,-3.5786750558474982,-113.30400262459928
7800,-3.305710264579949,-114.78993495151413
7900,-3.7532753425049297,-116.48990332264052
8000,-3.8954026384325262,-116.77349799268811
8100,-4.1173680633760377,-118.3726285190895
8200,-4.4037546583370313,-118.8685699285235
8300,-4.4166753478406031,-119.53136534969259
8400,-4.8181304029001772,-122.03444030211256
8500,-4.9150074918071969,-120.6873485918975
8600,-5.2370749566563219,-121.13833784317228
8700,-5.1595966627731951,-121.95140483109179
8800,-5.2487071544950901,-121.13256381234298
8900,-5.2732190217222108,-123.40125266407348
9000,-5.2931882507015624,-121.76890636478255
9100,-5.305068924316986,-123.31802592264262
9200,-5.2162279935237121,-124.71716765762925
9300,-5.4082201833887549,-122.85541930234744
9400,-5.383067786359498,-125.25339095878059
9500,-5.3113229911987752,-124.31630379837074
9600,-5.5198195326089987,-127.77019772230352
9700,-5.7234764030996352,-126.91663415654847
9800,-5.8524617727008934,-127.00271228497591
9900,-6.2290220407330397,-129.04006250560965
10000,-6.1702573329519783,-127.47588222733354
11000,-7.0969212761829219,-135.39451073084714
12000,-7.6014808557373339,-138.47017733463298
13000,-9.0402966976404358,-145.95173147576963
14000,-9.7403716711389148,-148.23901512752576
15000,-10.580850463781985,-153.21863077365416
16000,-11.399212750211769,-159.86173514064419
17000,-12.140876041473344,-162.8397706845607
18000,-13.070166007542717,-168.4747239970859
19000,-13.398586701353373,-172.53140024125713
20000,-13.902268694212927,-179.84454936750348
21000,-14.94169238228306,-181.65099451008388
22000,-15.540275308232193,-185.83791008247852
23000,-16.604962487734838,-192.4345188931056
24000,-12.581192501388109,-174.66216511253364
25000,-12.360116716893273,-210.88088730699968
