"Frequency / Hz","Voltage Adder","Voltage Adder"
100,30.778053817562238,-9.2483817126654504
200,30.551444391227069,-7.0615577320252507
300,30.621025528302756,-6.6360611953547872
400,30.695391064588947,-6.7675051742801005
500,30.839650161925434,-7.2114292478071755
600,31.032809185505734,-8.0932093199536936
700,31.184450919454044,-9.8200249760932667
800,31.217095572173648,-12.205738459910124
900,31.177805979140011,-14.625062706346069
1000,31.083362015951728,-17.017363713506207
1100,30.934326255000268,-19.049765906584753
1200,30.726245940500696,-20.486230993787707
1300,30.559810909476475,-21.657182357297824
1400,30.446870389065847,-22.868022567035489
1500,30.390051413950466,-23.858744433164237
1600,30.404075104128449,-24.812536857651981
1700,30.500194696097914,-26.320614111191826
1800,30.517170077249069,-28.691217783011712
1900,30.368425790157282,-31.517638331289149
2000,30.068889955131009,-33.64366699504847
2100,29.756458174990662,-34.089860958918052
2200,29.697290717747393,-33.592716183222521
2300,29.875622544520255,-34.380084319421783
2400,29.942814415279472,-36.850766333501198
2500,29.715170149294106,-39.647532575059543
2600,29.320810306019041,-40.878123642149248
2700,29.102546996769739,-40.556393709035362
2800,29.145959409837658,-40.649289674178874
2900,29.248603152896308,-42.351054077554345
3000,29.166310681884152,-45.057690946890695
3100,28.794114164284949,-46.559612009975581
3200,28.541755243749694,-45.559113886606653
3300,28.719228824160759,-45.444057975083901
3400,28.795653702724803,-48.259533318090426
3500,28.442724351512204,-50.507684061675569
3600,28.156267604176559,-50.085374355153093
3700,28.275682655348259,-50.316984557687256
3800,28.327999095342303,-52.602333895615182
3900,28.060291799315259,-54.945402153610111
4000,27.725574531048018,-55.006851042426355
4100,27.802594676881402,-54.814152952450812
4200,27.856685215352385,-57.410469339057165
4300,27.454637108660268,-58.837478206868894
4400,27.352276289327012,-57.670396614772876
4500,27.510731458377773,-58.680554649997468
4600,27.323076213705356,-60.771732037104073
4700,27.03298863257497,-60.280010067561832
4800,27.15520162246024,-59.749669088462753
4900,27.07379225523955,-62.256863384112648
5000,26.641581032615345,-61.891354951485745
5100,26.808592142890205,-61.377747619913805
5200,26.669318450223724,-63.880854158958932
5300,26.372008875654647,-63.259213499275432
5400,26.485785044036994,-63.532932269061284
5500,26.317583011198153,-65.872571778242786
5600,26.013372636991249,-65.426185767933646
5700,26.185976433769905,-65.872409246989235
5800,25.887770863747335,-67.793041728225901
5900,25.817759563818981,-66.300311109175183
6000,25.886796145379503,-68.318510587450959
6100,25.548626641611239,-68.715966393046074
6200,25.667388629932496,-68.470507225191909
6300,25.466279731290435,-70.696456117442111
6400,25.357534750951778,-69.484422410655171
6500,25.395999406353823,-71.516105362875635
6600,25.096538154131945,-71.029670677378007
6700,25.225696465789362,-71.721148968724137
6800,24.901351461392199,-72.903424626033612
6900,24.972751689152336,-72.150911465189594
7000,24.801159571106076,-74.541013092501757
7100,24.756791532178497,-73.374174233501037
7200,24.711854923606317,-75.591388954390737
7300,24.560916321715247,-74.42176758999419
7400,24.638456031227818,-76.132544859200323
7500,24.383450982867664,-75.625784679865234
7600,24.5019916601617,-77.375894591377474
7700,24.236007521441913,-76.894601817925022
7800,24.370430411577829,-78.703773918316472
7900,24.098165847134979,-78.779975498230129
8000,24.24155337132628,-80.364186005325408
8100,23.937060286272839,-80.056475022856517
8200,24.016420104963579,-82.07285149224596
8300,23.810861860108879,-81.34779398243667
8400,23.838274487756898,-83.301589467711139
8500,23.694504977577424,-82.178955647301137
8600,23.62282820461505,-84.202261444033809
8700,23.673796674705365,-82.884087270443061
8800,23.440683356531991,-84.211854703601219
8900,23.617197708123751,-83.639924503774168
9000,23.318337934276411,-83.913474566112995
9100,23.424119899264756,-84.67475920519513
9200,23.234602353344389,-83.493245231532924
9300,23.186753609958679,-85.26264389040692
9400,23.218413251407949,-84.136113125834839
9500,22.961602034268122,-85.015055152345468
9600,23.090171466055935,-85.832842300704172
9700,22.867804940708613,-85.164285795791571
9800,22.792582280258657,-86.716568245539278
9900,22.85785847078165,-85.933208083934161
10000,22.610440643809824,-86.085778827070641
11000,22.18324970223895,-90.84568929507418
12000,21.650284051257017,-96.897873136451366
13000,21.353281106836377,-101.56171430430267
14000,20.844849867960619,-102.23629222206303
15000,20.517248744709164,-105.40681206797612
16000,20.347523830221199,-112.95650149451885
17000,19.866113718417324,-120.33629199292328
18000,19.984072415889646,-122.1714219475337
19000,19.719004810403355,-124.34746160752555
20000,19.345260235767284,-134.47666107291056
21000,18.644028741869391,-143.76603814501581
22000,18.90106036554204,-148.41128468492676
23000,18.569797568107315,-151.50799472700618
24000,20.903715103912251,-207.92346380259588
25000,0.056309353727742956,-286.42409237570598
