"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,0.047165472699117535,-3.5076720894644384
200,-0.097044745680160541,-6.7487251111604101
300,-0.27793019843874001,-9.8372739877336137
400,-0.48738302554426227,-12.338217192959201
500,-0.70966070541854798,-14.044057170743082
600,-1.0305058258893152,-15.432897155740578
700,-1.3032804670492815,-16.893624524125016
800,-1.4229372972895762,-18.127966796309895
900,-1.567987102294929,-18.756453896432788
1000,-1.7586743309474784,-19.311248695955001
1100,-1.9931823842370617,-19.988378445772316
1200,-2.1325381752462027,-21.291309077969348
1300,-2.1722819948651577,-22.404297234319003
1400,-2.289763699220519,-22.720452595354885
1500,-2.5048738077381918,-23.023756059766022
1600,-2.7447087160531733,-23.345207059989725
1700,-2.9217712640174041,-23.807870181552602
1800,-2.8574534308704829,-23.867350533629633
1900,-2.6911260590438655,-24.118393534535549
2000,-2.6823980157391007,-24.769362284644714
2100,-2.8439514112602793,-26.120801501695251
2200,-3.0964630969777271,-27.221958841427831
2300,-3.2917072472174915,-27.688033475151546
2400,-3.1948280446977306,-27.680173657683575
2500,-3.0439588966071858,-28.32085951085617
2600,-3.1324262491808703,-28.92685607393236
2700,-3.3320283160530262,-29.217447337388467
2800,-3.4760027634747788,-28.842511304404894
2900,-3.4679523367659155,-28.870358018522186
3000,-3.2956162795717026,-30.281063492284986
3100,-3.2202508831034384,-32.297132253303388
3200,-3.3124475719713953,-33.142134745970793
3300,-3.409845459506414,-32.922218743535254
3400,-3.3710021229766145,-32.780436226421827
3500,-3.3987314819256209,-33.352154966368381
3600,-3.584044585951224,-34.116770766254071
3700,-3.6709437717421176,-34.127728900407121
3800,-3.5030385842153722,-34.940888963313014
3900,-3.4181835648140186,-36.899309584522079
4000,-3.5394794858785295,-38.62042856903301
4100,-3.6405543092712422,-38.578225499792595
4200,-3.5346967236415159,-37.901207723908762
4300,-3.4000613146406748,-38.776201275702988
4400,-3.5583861870700568,-39.204389563009791
4500,-3.4815680729821405,-39.055414729710435
4600,-3.438234384704173,-40.70822519930649
4700,-3.69738817472967,-41.587308328218718
4800,-3.8382711831324161,-40.870742682536012
4900,-3.6633334947915328,-41.292945784697586
5000,-3.6454527574122313,-43.521773843228807
5100,-3.8090480753606295,-43.998916059662299
5200,-3.7857295297198141,-44.748188748796174
5300,-3.9157564870866937,-45.882562307460482
5400,-3.8896163974173921,-45.521309615276465
5500,-3.6957824625415925,-46.841749394509101
5600,-3.797921471193316,-48.703634245851234
5700,-3.9454183857529577,-48.48560740230176
5800,-3.8755889764433915,-49.068657792395982
5900,-3.8749022859890077,-49.80347925216018
6000,-3.741898262643768,-50.731743677694197
6100,-3.8707268214951798,-52.493073043425674
6200,-3.9795796362385438,-51.451712605594551
6300,-3.7722366702247219,-52.473464017886819
6400,-3.8824561946544787,-53.916864780906828
6500,-3.8501484686576677,-54.676468491938316
6600,-3.9887531906046352,-55.373612469377122
6700,-3.8612938965106847,-55.055757896860889
6800,-3.7667389961709614,-56.972836832877498
6900,-4.0190883815059113,-57.740485359521891
7000,-3.9334940745234781,-57.685808271380715
7100,-3.9275986096936819,-58.644188211328597
7200,-3.8549122588731639,-60.114954198465682
7300,-4.0755145215085893,-60.80581117799391
7400,-3.8964192242486928,-60.294771735288634
7500,-3.9247484116273994,-62.116998168729602
7600,-3.9606970591021096,-62.382400443843252
7700,-4.0641129560791169,-62.871746841675787
7800,-3.8203922979858285,-63.077751334650415
7900,-3.9760333082226595,-65.195551991609861
8000,-3.9681039966134222,-64.681065341274106
8100,-3.8608258298666587,-65.814628641026047
8200,-3.7844956903046212,-67.403990288942936
8300,-3.9644497167046588,-68.046744123343615
8400,-3.7684139447784974,-68.402888578240763
8500,-3.8900660786259502,-70.49229838608224
8600,-3.975181365303921,-70.534699398278249
8700,-4.0079902900774647,-70.58096697054863
8800,-4.0109905980963587,-72.381104538435423
8900,-4.2205342554389675,-71.305947272856656
9000,-4.0171707150363103,-72.102751854967423
9100,-4.0704071425492225,-72.765053065640956
9200,-4.1901506405421109,-73.121665062354708
9300,-3.925479197768809,-74.225793639241132
9400,-4.2253342134815988,-75.71123735152473
9500,-4.2419204762849176,-76.058143611988356
9600,-4.2482785830295153,-76.906011559120159
9700,-4.5873851566676311,-77.490255183297236
9800,-4.3068394173415765,-77.115220131265659
9900,-4.435294322931826,-78.216888828449854
10000,-4.4266635124056304,-78.730283369004411
11000,-4.4387433342476275,-86.312206143292514
12000,-4.4778359755983725,-97.208448186592349
13000,-4.4428930857793274,-104.79022817982485
14000,-5.0490053347080446,-107.92499181818798
15000,-5.168054535631522,-117.77435885449124
16000,-4.816898825247601,-128.42020683560344
17000,-4.6420785576183992,-137.43191024139978
18000,-4.9472593219654897,-138.69610141683501
19000,-5.154479670085415,-148.23232844220817
20000,-4.6540959693486545,-166.14843652097159
21000,-5.0274668395268591,-181.43342024456868
22000,-4.0834763542325883,-183.09817683284638
23000,-3.6286884932658445,-193.32353406200636
24000,-0.071005791487771905,-206.04549840059613
25000,-1.1809494454431015,-267.8594991600383
