"Frequency / Hz","Vm2:Measured voltage","Vm2:Measured voltage"
100,6.9227728064492613,-265.97564467949275
200,0.97471514213415666,-262.00041310589518
300,-2.4288635433434482,-258.1182011806473
400,-4.7673712623171554,-254.36819152954197
500,-6.5079174943319487,-250.78194474001123
600,-7.8616882179835645,-247.38261664815315
700,-8.9439350670773585,-244.18506992917906
800,-9.825484397515142,-241.19667134588127
900,-10.553522408825916,-238.41849885548675
1000,-11.161319165230186,-235.84670390302244
1100,-11.673299730296552,-233.4738380264244
1200,-12.107926127223694,-231.29002664219473
1300,-12.47945507916301,-229.28393656207552
1400,-12.799074659098705,-227.44352850057768
1500,-13.075675258947953,-225.75661290536414
1600,-13.316392874341075,-224.2112397159909
1700,-13.527003593160565,-222.79595590652158
1800,-13.712216765396194,-221.49996242606417
1900,-13.875896841202259,-220.3131975076349
2000,-14.021233624759075,-219.22636802590193
2100,-14.150874413607109,-218.23094563115717
2200,-14.267027514212757,-217.31914006749648
2300,-14.371543968194022,-216.48385867446748
2400,-14.465982515713884,-215.7186584351814
2500,-14.551661547519021,-215.01769486406124
2600,-14.629700886431124,-214.37567066043383
2700,-14.701055556600958,-213.78778595105823
2800,-14.766543218454718,-213.24969121434123
2900,-14.826866554470628,-212.75744349760811
3000,-14.882631622561586,-212.30746618054621
3100,-14.934362963793003,-211.89651230521
3200,-14.982516095591842,-211.52163137750054
3300,-15.027487880705861,-211.18013942707705
3400,-15.069625169628424,-210.86959210762092
3500,-15.109232029848126,-210.58776055946001
3600,-15.146575814221112,-210.33260978002781
3700,-15.181892273699471,-210.1022792484678
3800,-15.215389874605123,-209.89506558168154
3900,-15.247253456629064,-209.70940698631196
4000,-15.2776473374592,-209.5438693269638
4100,-15.306717952417532,-209.39713364995714
4200,-15.334596102008643,-209.26798499778511
4300,-15.361398867066464,-209.15530240505367
4400,-15.387231242453147,-209.0580499656451
4500,-15.412187532227266,-208.97526887987789
4600,-15.436352543838952,-208.90607040581241
4700,-15.459802615087824,-208.84962964120436
4800,-15.482606502737678,-208.80518006821251
4900,-15.504826160273723,-208.77200879238038
5000,-15.526517428091019,-208.74945239412313
5100,-15.547730658651071,-208.73689330507992
5200,-15.568511290168024,-208.73375662326677
5300,-15.588900386940114,-208.73950723685928
5400,-15.608935149486436,-208.75364717675865
5500,-15.628649400789792,-208.7757130581945
5600,-15.64807404240506,-208.80527355046681
5700,-15.667237476670469,-208.84192677042969
5800,-15.686165978391786,-208.88529759137529
5900,-15.704884006218867,-208.93503486404256
6000,-15.723414438761328,-208.99080861486183
6100,-15.741778726705222,-209.05230733048444
6200,-15.759996959683594,-209.11923546731308
6300,-15.778087854286369,-209.19131136079662
6400,-15.796068682559527,-209.26826567486802
6500,-15.813955168595413,-209.34984051287407
6600,-15.8317613921707,-209.43578922261185
6700,-15.849499737206196,-209.52587683398966
6800,-15.867180922764952,-209.61988095657495
6900,-15.884814141184997,-209.71759286569394
7000,-15.902407310713787,-209.81881842983205
7100,-15.919967425802922,-209.92337852355914
7200,-15.93750096441326,-210.03110862138564
7300,-15.955014291417967,-210.14185740619433
7400,-15.972513986156049,-210.25548440932451
7500,-15.990007026044758,-210.37185693554244
7600,-16.007500777937615,-210.49084673167218
7700,-16.025002783485572,-210.61232699532908
7800,-16.042520372055229,-210.73617035400767
7900,-16.060060177153751,-210.86224830818745
8000,-16.077627670294486,-210.99043236831329
8100,-16.09522683566416,-211.1205967145973
8200,-16.112860093603256,-211.25262182692973
8300,-16.13052852738041,-211.38639816965596
8400,-16.148232398265641,-211.52182890485236
8500,-16.165971849140796,-211.65883069632315
8600,-16.183747629724934,-211.79733211050126
8700,-16.201561648003711,-211.93726970291041
8800,-16.219417173776996,-212.0785826011907
8900,-16.237318599808997,-212.2212069459371
9000,-16.255270788313126,-212.36507178461443
9100,-16.273278161847944,-212.51009778835456
9200,-16.291343800109917,-212.65619943733665
9300,-16.30946883619464,-212.80329030385045
9400,-16.327652384596675,-212.95128998058641
9500,-16.34589208392757,-213.10013046938053
9600,-16.364185136707576,-213.24975975609794
9700,-16.382529538537586,-213.40014100351223
9800,-16.400925083997183,-213.55124715803476
9900,-16.419373765469381,-213.70305242349258
10000,-16.43787936245452,-213.85552339578464
11000,-16.626299963157859,-215.4051900205788
12000,-16.82052138127538,-216.97637438699113
13000,-17.020100486389939,-218.54340868877367
14000,-17.22433887145267,-220.08846609505051
15000,-17.432412812353569,-221.59995416245064
16000,-17.643629558390202,-223.06967734032045
17000,-17.857123154012555,-224.49255697433367
18000,-18.072242359706468,-225.86518837792747
19000,-18.288329989502646,-227.18625798173869
20000,-18.504778846928154,-228.4552105649222
21000,-18.721069726531823,-229.67229242211945
22000,-18.936748625977767,-230.83841848860706
23000,-19.151434744238763,-231.95495251373941
24000,-19.364808442452372,-233.02329192049342
25000,-19.576527326571824,-234.045191472319
26000,-19.786415254897118,-235.0228110155104
27000,-19.994211683882835,-235.95774959657302
28000,-20.199813018484825,-236.85203951054814
29000,-20.403060121597655,-237.70775420612995
30000,-20.603842250672177,-238.52667273567073
31000,-20.802084389777022,-239.31059634528256
32000,-20.997724134713437,-240.06131454064371
33000,-21.190720764781062,-240.78062121232375
34000,-21.381075811527033,-241.470101122171
35000,-21.56874062961904,-242.13106221995969
36000,-21.753726326781756,-242.76542284661909
37000,-21.936031105292951,-243.37411002982958
38000,-22.115700449474375,-243.95874526302907
39000,-22.292723709550618,-244.52055901718722
40000,-22.46713354432238,-245.06062641342322
41000,-22.638967898306692,-245.58005399881785
42000,-22.808257885028176,-246.07988717266409
43000,-22.975033032956055,-246.5611807936674
44000,-23.139357100428334,-247.02495169540663
45000,-23.301270117504686,-247.47175783667916
46000,-23.460782282243272,-247.90279731900642
47000,-23.6179759158737,-248.3184761953807
48000,-23.772889318335931,-248.7198689878249
49000,-23.925546154711714,-249.10752157919603
50000,-24.076005577191832,-249.48203364360978
51000,-24.224318019513312,-249.84404179931894
52000,-24.370525777383559,-250.19410644696262
53000,-24.514660775854296,-250.53278870925737
54000,-24.656776366215901,-250.8607651478589
55000,-24.796944643667924,-251.17827669917835
56000,-24.935148503813892,-251.4859251068232
57000,-25.071493433438064,-251.78402190150561
58000,-25.205983690902944,-252.0732071342446
59000,-25.338657049647711,-252.35367247473249
60000,-25.4695683067022,-252.62580296529097
61000,-25.59875798761832,-252.88998475094201
62000,-25.726263640085058,-253.14652213969546
63000,-25.852111155452455,-253.39568713858671
64000,-25.976328635830484,-253.63793677887651
65000,-26.098996181911062,-253.87347989471994
66000,-26.220088937529027,-254.10244859108082
67000,-26.339700522691839,-254.32525830367962
68000,-26.457813778986157,-254.54217577067661
69000,-26.574476688955976,-254.75326690196681
70000,-26.689730292322615,-254.95882335168943
71000,-26.803602590144273,-255.15908802131099
72000,-26.916125056858888,-255.35423625640138
73000,-27.027321401399938,-255.5443788098822
74000,-27.13719831900282,-255.7297865974179
75000,-27.245824514354386,-255.91075398387869
76000,-27.353192690941064,-256.08709971502367
77000,-27.45936041600206,-256.25934624547295
78000,-27.564311432773874,-256.42746145208116
79000,-27.668097705911624,-256.59152390306514
80000,-27.770743955349193,-256.75176628774926
81000,-27.872268249110476,-256.90833655700015
82000,-27.972696693298303,-257.06134902533972
83000,-28.072054386758658,-257.21084127091666
84000,-28.170337518340077,-257.35691354965792
85000,-28.267588132413106,-257.49993746037387
86000,-28.363831508819516,-257.63961114853851
87000,-28.459078691051772,-257.77644990092722
88000,-28.553332878023806,-257.91024206239672
89000,-28.646640247935537,-258.04113922575669
90000,-28.739010859300205,-258.16930961365472
91000,-28.830456776055179,-258.2948319161323
92000,-28.920999001204745,-258.4177938604455
93000,-29.010664304688628,-258.53822183884228
94000,-29.099450408609655,-258.65607998998451
95000,-29.187366103076204,-258.77173289886179
96000,-29.27446808493157,-258.88494831811209
97000,-29.360726761614849,-258.99608737209184
98000,-29.446172347395589,-259.10490706599626
99000,-29.530835631454426,-259.21162548039422
100000,-29.614716955890003,-259.31633311864431
