"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,24.252967782744825,-96.82100152085377
200,18.495571509751056,-87.962088677033549
300,15.028010569499756,-84.387942759697538
400,12.824065054163622,-81.621979933279448
500,11.419552167080996,-78.68326958370308
600,10.129334504237537,-74.097371615992785
700,8.9795115259562444,-71.687214704100739
800,8.2789812968732228,-71.937563014654941
900,7.7893385532821231,-70.786538615630434
1000,7.2549349994678822,-68.987117221374731
1100,6.6137779454653254,-67.040916645016921
1200,5.9870932023026091,-67.629187638745123
1300,5.6130020730297705,-69.067713145481406
1400,5.3314074047274307,-68.244670444617327
1500,4.8904654059237584,-66.400460207598698
1600,4.4047141705687816,-64.492848320738645
1700,3.9995902608470484,-63.580692214305827
1800,4.0960375544233676,-64.289191574726715
1900,4.3190228637725276,-66.328659917345419
2000,4.1852291073232699,-67.482623689099327
2100,3.6304865008782512,-68.08848111144188
2200,3.0116214333193376,-67.538845911875839
2300,2.6211896074760199,-66.615509424037853
2400,2.7711755743530593,-67.40590190756518
2500,2.8733704811437195,-69.652885459418243
2600,2.6245748255191801,-69.795885524393569
2700,2.2763444408990501,-68.591375430028151
2800,2.1298980686144082,-66.900662391316629
2900,2.1370115640418734,-67.004916387513632
3000,2.1344921549092701,-70.424935238948066
3100,1.8726721699135929,-73.81609084514271
3200,1.5990912260600036,-74.231143533842044
3300,1.5073025928913615,-73.200022386192458
3400,1.5841107907983145,-73.302569423866657
3500,1.4480585604925336,-73.857805096495696
3600,1.0739182103178389,-73.514336064241988
3700,0.95702072174581643,-72.911989963459121
3800,1.0437237402954342,-75.170908603846541
3900,0.82851089766709118,-78.237450083434425
4000,0.40719014323827235,-79.47301659029425
4100,0.29276988028125012,-78.740864504149059
4200,0.52588611087709747,-78.642427279964181
4300,0.54750166702723713,-80.614250050404848
4400,0.29407892078395564,-80.037333873075724
4500,0.40767125096774409,-80.38191329070834
4600,0.2010318664489692,-82.580967285952838
4700,-0.22498140306174128,-81.887220892391014
4800,-0.28298576692622429,-80.170638468954039
4900,-0.14294185366805431,-81.769592101989872
5000,-0.44715333618028236,-84.371418348250984
5100,-0.69380142274717904,-83.889004732477346
5200,-0.77226957312023459,-84.846542652642199
5300,-1.0664683789526124,-85.29989659961241
5400,-0.98989867698401512,-85.064328896658736
5500,-0.9635177847667703,-87.600450848011036
5600,-1.3157977658316631,-88.921387455101652
5700,-1.4386241320671287,-87.86816749732931
5800,-1.4419563925084264,-88.855413497908884
5900,-1.5351050608047714,-89.602382260225752
6000,-1.5209629842627299,-91.260553676312384
6100,-1.8661229094753538,-92.278326619805313
6200,-1.8452491248143608,-90.678981423739756
6300,-1.7687534096224191,-92.785933032137862
6400,-2.0494271018634427,-93.582354647622907
6500,-2.1093177455359022,-94.467318261245353
6600,-2.3212556500980397,-94.416288155124136
6700,-2.164574667547869,-94.765440438084056
6800,-2.3010662974254066,-97.01014701158671
6900,-2.6181929294325808,-96.464473435111771
7000,-2.533844402102257,-96.831395177896979
7100,-2.6355255248475369,-97.728238654396591
7200,-2.7326445583045107,-99.386392575006695
7300,-3.0022882720528377,-98.965383071771598
7400,-2.7888082382776562,-99.348320738318108
7500,-3.008384891667446,-100.81038864947195
7600,-3.0674200300083214,-100.87643668072545
7700,-3.2080323083645439,-100.83472548215958
7800,-3.0195775040304684,-102.11302728301123
7900,-3.3684582506417104,-103.21606427382869
8000,-3.3100080371620901,-102.81516083308313
8100,-3.3338247404496579,-104.23718987212638
8200,-3.4285679423588391,-105.87621865955202
8300,-3.6384206977136273,-105.6421356341797
8400,-3.5129732056347351,-106.7552088525471
8500,-3.8091910958144575,-107.93356430207191
8600,-3.8815448821763914,-107.62425208802748
8700,-3.9122970166571287,-107.52986703523392
8800,-4.0783128730161025,-108.96235657737044
8900,-4.150811232119235,-107.27743779606926
9000,-4.0582425125727735,-108.71611932565942
9100,-4.1599419129415249,-109.03787176824027
9200,-4.2872149856596007,-108.86387539830294
9300,-4.1744126694187047,-110.74732968723752
9400,-4.5374071187830021,-110.79365976355888
9500,-4.5795608574157942,-111.00686960305663
9600,-4.6549223480517963,-111.65055151380176
9700,-4.970728892759138,-110.91519487137816
9800,-4.718088054698967,-111.60544821855981
9900,-4.9082101477838807,-112.01993066639548
10000,-4.9422935429337818,-112.45301794170469
11000,-5.51994519586962,-118.22109433554265
12000,-6.2575202041683511,-126.07037546306111
13000,-6.65869967828794,-131.48206454315539
14000,-7.2419094870172485,-132.33907933108091
15000,-7.7646472928863499,-138.99226273095906
16000,-7.9209419493731383,-146.76645153956522
17000,-8.079192591763924,-152.90951618241056
18000,-8.3120976288583286,-153.38067826481637
19000,-8.6657053379795794,-159.42625435341404
20000,-8.5964839750616413,-171.25361226055099
21000,-8.8924832848146291,-180.91853563541636
22000,-8.2971237834259473,-181.90674376315755
23000,-7.9667431162455724,-188.03936158715041
24000,-5.8298609835483006,-193.07691432252668
25000,-3.7986116706858941,-227.67081291126414
