"Frequency / Hz","Vm4:Measured voltage","Vm4:Measured voltage"
100,41.446173899177808,-89.49008227770085
200,33.856612562136739,-92.560753385408148
300,30.407434762635923,-91.078081019552869
400,28.116760202112303,-91.456782296204437
500,25.660510595435344,-90.73032090286037
600,24.199150677802908,-91.831096543589297
700,22.841967032789849,-92.16519679415596
800,21.810706792414365,-91.491749360880846
900,20.765877333379127,-91.512123144217824
1000,19.67478903602489,-91.425524722980185
1100,18.936065378360556,-92.46730193453223
1200,18.316829087959277,-92.612258917351028
1300,17.721295246964608,-92.655623335831507
1400,17.179023075836845,-92.880670634270899
1500,16.560669263839944,-92.707063434030204
1600,15.841688366507032,-94.457182302510247
1700,15.457797934320514,-94.626672118647974
1800,14.936778475050229,-95.177677568200778
1900,14.453763613350507,-95.334003588855253
2000,14.120190260061886,-95.277050298146193
2100,13.648993585858555,-95.246135510724258
2200,13.20809416030265,-96.423350201961043
2300,12.866817212446175,-96.909481552329837
2400,12.482886600366413,-97.57692458250007
2500,12.066625047405068,-97.620911085042295
2600,11.82859697112854,-97.776862173506629
2700,11.465014290140017,-97.994355146306219
2800,11.139378235815718,-98.543225876827009
2900,10.788738346325031,-99.089738035157822
3000,10.531307261814309,-99.613182612642404
3100,10.19606738621588,-100.08049748521478
3200,9.9993691184600593,-100.74427177578978
3300,9.7355141147321866,-100.99189423089078
3400,9.4990559592746102,-101.41033415993519
3500,9.2517072368007565,-101.72005494013436
3600,8.9350204926088548,-102.11939635801234
3700,8.7217190698875129,-102.24110460422696
3800,8.495082417967625,-102.79133542391999
3900,8.248054238973733,-103.33301246555841
4000,7.9328806555405649,-104.07663332483557
4100,7.7845917283854167,-104.58741797689827
4200,7.595813157298732,-104.92218954746366
4300,7.3766682150362168,-105.59583171505543
4400,7.1705399339313969,-105.60906344710898
4500,6.9867547391350122,-106.23126844647676
4600,6.8460299009153776,-106.21121623986859
4700,6.6079886311626792,-106.37131195469277
4800,6.4220045214266586,-106.96122094824898
4900,6.2725807798259385,-106.98705346841082
5000,6.0937715555122027,-107.63363513167131
5100,5.8975528009858449,-107.77234721733868
5200,5.6717352291990677,-107.9385469387684
5300,5.5074079911232285,-108.68579360711455
5400,5.3797868259924995,-108.95052786426164
5500,5.1677591497862441,-109.26601830312786
5600,5.0179239479358557,-109.45454109517098
5700,4.8266878065322052,-109.55429545566932
5800,4.6366606212436352,-110.16816680682483
5900,4.5513468553123895,-110.52983823586656
6000,4.3541579057184308,-110.86235278082968
6100,4.2146896231993791,-111.19370275371779
6200,4.0719390795165467,-111.45349981447951
6300,3.8853723143659504,-111.85830067652554
6400,3.7276901531551609,-112.3236777456563
6500,3.6347496974180968,-112.57071184586619
6600,3.478688760232489,-112.96650572425685
6700,3.336070725724221,-113.36937494468089
6800,3.1953112975568865,-113.8608865090239
6900,3.0483860747640099,-114.09122696342908
7000,2.9046368180218014,-114.38509932741512
7100,2.7936663095269116,-114.84370458823007
7200,2.6574996503787491,-115.28973130883831
7300,2.5349027261952308,-115.80507370272191
7400,2.3910805673234794,-116.23152734568556
7500,2.2826606718105378,-116.64322636211097
7600,2.2016677137304761,-117.00093722783116
7700,2.079762744463268,-117.34062451955326
7800,1.9402608839656923,-117.76615782387752
7900,1.8163757448367854,-118.24830670275816
8000,1.6786739047343975,-118.60755957614867
8100,1.541036592570542,-118.95149320945109
8200,1.4031331980278927,-119.63685357607434
8300,1.2795292317967546,-120.13962241543577
8400,1.1754124898314919,-120.53957315529682
8500,1.0681685858444854,-120.75696216748294
8600,0.95578877472602941,-121.18838156440823
8700,0.85359023839978487,-121.61607396386724
8800,0.78180990839185227,-121.44127636926271
8900,0.66398805723714749,-121.70069189795527
9000,0.55680715611993759,-122.08695075915657
9100,0.4617027454386784,-122.42442177681551
9200,0.35801300923252943,-122.58777936847991
9300,0.25469988996235232,-122.65217992110216
9400,0.10626531179447925,-123.159550759927
9500,0.0072986633009569394,-123.4318930141533
9600,-0.097867707477972909,-123.60267505556901
9700,-0.20312238251305065,-123.83081774841256
9800,-0.31978437972336871,-124.03450149904999
9900,-0.44803490800161172,-124.21223915549305
10000,-0.52260719157159652,-124.66203476953797
11000,-1.5020102577592411,-127.85238577608438
12000,-2.3448295304956264,-131.84190575921892
13000,-3.2205994039462471,-135.1942438331032
14000,-4.0023267299629843,-136.90540749713003
15000,-4.7921285631846136,-139.61134581889058
16000,-5.4105006504029083,-143.5351529466927
17000,-6.163073127561268,-147.44709853129629
18000,-6.7657361712142619,-148.4358034846432
19000,-7.4584904273322215,-150.15928666555345
20000,-7.9515181781661823,-154.3055835927785
21000,-8.5955317380280754,-158.35685898138539
22000,-9.0202804501533187,-159.29084884284529
23000,-9.623728886121965,-160.3059066974277
24000,-10.034017485740828,-164.17226757742264
25000,-10.544703297073333,-168.02909030175877
