"Frequency / Hz","Op Amp","Op Amp"
100,24.770796947182848,-4.6013577940327766
200,24.709476304228687,-6.4509268035023233
300,24.655471287868949,-8.2439645805379005
400,24.613772841112262,-9.9147736716716643
500,24.594614039225963,-11.460777079031287
600,24.627031768365558,-13.352026415786215
700,24.349704743427708,-14.603360111934073
800,24.362667481294014,-16.618096872769417
900,24.354159659375455,-18.766542780871731
1000,24.300336911706658,-20.993455382338382
1100,24.202800252489965,-23.205601078847426
1200,24.098893180610407,-23.429442050749124
1300,24.046573726533232,-26.888743522717373
1400,23.942484426701164,-28.510369380592344
1500,23.846243487567094,-30.21106431676132
1600,23.735407791765546,-31.834397840178529
1700,23.636282668559186,-33.58317795818359
1800,23.319243358573711,-34.195224610062688
1900,23.420951357522792,-36.165021222118007
2000,23.299226642012556,-37.833320169224905
2100,23.155691864753997,-39.588611920832484
2200,22.976354775666579,-41.012103431576648
2300,22.847019911927461,-42.427483346740516
2400,22.610350038187686,-43.473594704494623
2500,22.591869487673769,-45.011198451532259
2600,22.448146531979063,-46.549469568220808
2700,22.284041344542,-48.119700424016784
2800,22.109501678815317,-49.559122577573795
2900,21.922507225278625,-50.94386848194609
3000,21.751889664916781,-52.197636289010454
3100,21.681852304527244,-53.660234781653642
3200,21.477729679776733,-55.752392410297062
3300,21.246297266393729,-56.632604271657094
3400,21.109917021789684,-57.667955862960497
3500,21.016625588008765,-59.160032191887005
3600,20.713918398760413,-60.564496415457441
3700,20.544169019260771,-61.677082254958933
3800,20.310926347762873,-62.052901875375852
3900,20.216258082962892,-63.753675639286179
4000,19.959758888135596,-64.850786705829492
4100,19.652732027494146,-65.640255581905635
4200,19.642311174806963,-65.750805409528809
4300,19.487700686752035,-67.325057115001925
4400,19.390308922413279,-68.589969910432359
4500,19.285710830002245,-68.301286661817571
4600,19.269837397089265,-70.032719183526837
4700,19.201056773336241,-70.982535839607891
4800,19.052763011094772,-71.693756680621277
4900,19.020058585104735,-72.34328119424427
5000,18.851127169573445,-72.576181793477517
5100,18.650924236333513,-72.867056455715655
5200,18.739990122971413,-73.196982722888634
5300,18.541508848719189,-73.798694360903653
5400,18.503734943652816,-73.257418266903727
5500,18.542322431301749,-74.837782184975836
5600,18.167500379382357,-75.915008945653469
5700,18.067154707292708,-75.580051109205399
5800,18.041005658103067,-76.637417470253553
5900,17.720607853805369,-76.318160716804869
6000,17.778709528523585,-75.86164838471764
6100,17.755464914283397,-77.750513476480052
6200,17.531153778489081,-77.69299501253812
6300,17.522946343369789,-79.118197780731094
6400,17.239398412009741,-80.124253898724177
6500,17.150921850584922,-79.427414344279697
6600,17.001925330484308,-80.714313631191857
6700,16.955743638176628,-80.66708141252839
6800,17.020788639647073,-81.802489163400736
6900,16.68798027276782,-82.344125750616897
7000,16.743769647513609,-83.741685381278955
7100,16.455757672419793,-83.880310220963565
7200,16.452119023354406,-85.031380182430809
7300,16.146427976613374,-86.152348138446612
7400,16.282996699740146,-86.935432928634484
7500,16.02510545123868,-87.988228127621795
7600,15.967448420554275,-88.353208853962769
7700,15.805967096431688,-90.011531029898833
7800,15.651762368329099,-89.95567137986059
7900,15.445739452796548,-91.006363068566898
8000,15.150904413982524,-90.696705591960168
8100,14.991112078039993,-92.057072027623178
8200,14.991223612588305,-91.236982727199134
8300,14.669765031336553,-92.770487414225414
8400,14.680524713560452,-92.777573649618631
8500,14.345917453021409,-93.978962718180654
8600,14.52827786620764,-93.682969948966516
8700,14.429201117706079,-93.70188896663204
8800,14.474684802071865,-95.308915130050892
8900,14.431016120464919,-95.435880523113639
9000,14.497029893149039,-96.574626879131529
9100,14.500935624041604,-96.273203931550839
9200,14.39294554022479,-97.007103575706466
9300,14.39155656246208,-96.310326327478691
9400,14.286360493363377,-97.331112185626424
9500,14.377684228811942,-96.882465107968088
9600,14.049081441432261,-95.682380959957342
9700,14.125452699375256,-96.468199391445168
9800,14.236212100567322,-95.074663111992251
9900,13.890980979191092,-96.454276522989531
10000,14.076966003648053,-97.379795345271987
11000,13.167107475757675,-99.382399149842016
12000,11.888214536560531,-109.34730174744345
13000,11.17701202466835,-109.73570408711645
14000,11.141424243987469,-111.26155935855257
15000,10.557110241464017,-113.46702257134422
16000,9.2866606612931708,-124.95688718275548
17000,8.4727136432437753,-122.13238559104497
18000,8.8353005977345571,-125.0793876552996
19000,8.4915987375404871,-132.59878553365812
20000,7.454998397922278,-143.54819170067944
21000,6.2985479640061488,-136.16493761769738
22000,5.8950237371675858,-143.69627548899408
23000,6.1711668153315262,-141.93367171627924
24000,10.044534889591834,-184.7870800703306
25000,-8.8170337621512047,-220.71647323868359
